snapshot_date,sku,location,zone,system_qty,physical_qty,unit_cost
2026-01-01,SKU0001,Z1-B01,Z1,111,111,7.70
2026-01-01,SKU0001,Z1-B02,Z1,68,68,7.70
2026-01-01,SKU0001,Z1-B03,Z1,54,54,7.70
2026-01-01,SKU0001,Z1-B04,Z1,115,115,7.70
2026-01-01,SKU0001,Z2-B01,Z2,106,106,7.70
2026-01-01,SKU0001,Z2-B02,Z2,80,80,7.70
2026-01-01,SKU0001,Z2-B03,Z2,100,100,7.70
2026-01-01,SKU0001,Z2-B04,Z2,51,51,7.70
2026-01-01,SKU0001,Z3-B01,Z3,121,121,7.70
2026-01-01,SKU0001,Z3-B02,Z3,64,64,7.70
2026-01-01,SKU0001,Z3-B03,Z3,48,48,7.70
2026-01-01,SKU0001,Z3-B04,Z3,80,81,7.70
2026-01-01,SKU0002,Z1-B01,Z1,65,65,11.40
2026-01-01,SKU0002,Z1-B02,Z1,55,55,11.40
2026-01-01,SKU0002,Z1-B03,Z1,44,44,11.40
2026-01-01,SKU0002,Z1-B04,Z1,111,111,11.40
2026-01-01,SKU0002,Z2-B01,Z2,63,63,11.40
2026-01-01,SKU0002,Z2-B02,Z2,44,44,11.40
2026-01-01,SKU0002,Z2-B03,Z2,129,129,11.40
2026-01-01,SKU0002,Z2-B04,Z2,42,42,11.40
2026-01-01,SKU0002,Z3-B01,Z3,67,67,11.40
2026-01-01,SKU0002,Z3-B02,Z3,113,113,11.40
2026-01-01,SKU0002,Z3-B03,Z3,185,185,11.40
2026-01-01,SKU0002,Z3-B04,Z3,110,110,11.40
