check_name,status,records_affected,details
inventory_snapshot.csv required fields and duplicates,PASS,0,"required fields present; unique key: snapshot_date, sku, location"
product_master.csv required fields and duplicates,PASS,0,required fields present; unique key: sku
transactions.csv required fields and duplicates,PASS,0,required fields present; unique key: transaction_id
orders.csv required fields and duplicates,PASS,0,required fields present; unique key: order_id
cycle_counts.csv required fields and duplicates,PASS,0,required fields present; unique key: count_id
sku_reference_integrity,PASS,0,all source SKUs exist in product master
date_range_180_days,PASS,0,observed period is 180 calendar days
non_negative_inventory,PASS,0,system and physical quantities are non-negative
snapshot_cost_matches_master,PASS,0,snapshot unit costs match product master
shipped_not_over_ordered,PASS,0,shipped quantity does not exceed ordered quantity
ship_date_not_before_order,PASS,0,shipment dates are not before order dates
required_transaction_types,PASS,0,all six documented movement types present
partial_shipments,PASS,0,orders include partial shipments
delayed_shipments,PASS,0,orders include delayed shipments
minimum_order_volume,PASS,0,13500 orders
minimum_transaction_volume,PASS,0,584997 transactions
minimum_cycle_count_volume,PASS,0,46800 counts
replenishment_tier_reconciliation,PASS,0,Critical + High + Watch + Routine equals SKU rows
replenishment_output_sku_grain,PASS,0,one replenishment row per SKU
count_tier_reconciliation,PASS,0,control tiers reconcile at SKU/location grain
count_output_all_sku_locations,PASS,0,"all 3,600 SKU/location records retained"
replenishment_routine_majority,PASS,0,Routine is the majority of SKU replenishment rows
count_routine_majority,PASS,0,Routine is the majority of SKU/location control rows
stockout_report_sku_grain,PASS,0,stockout report has one row per SKU
stockout_report_tier_filter,PASS,0,stockout report contains only Critical + High SKU rows
count_queue_has_no_enterprise_stockout,PASS,0,count queue uses location-control signals and does not infer SKU stockout
