zone,location,sku_location_records,total_adjustment_value,average_inventory_accuracy,recurring_variance_pairs,recount_count,transaction_volume,priority_rank
Z3,Z3-B03,300,106636.60,99.99,239,3105,48894,1
Z2,Z2-B02,300,104981.80,99.99,239,3105,48630,2
Z1,Z1-B01,300,0.00,100.00,0,0,48471,3
Z1,Z1-B02,300,0.00,100.00,0,0,48603,4
Z1,Z1-B03,300,0.00,100.00,0,0,48984,5
Z1,Z1-B04,300,0.00,100.00,0,0,49011,6
Z2,Z2-B01,300,0.00,100.00,0,0,48762,7
Z2,Z2-B03,300,0.00,100.00,0,0,48807,8
Z2,Z2-B04,300,0.00,100.00,0,0,48991,9
Z3,Z3-B01,300,0.00,100.00,0,0,48694,10
Z3,Z3-B02,300,0.00,100.00,0,0,48700,11
Z3,Z3-B04,300,0.00,100.00,0,0,48450,12
