priority_rank,sku,product_name,category,location,zone,latest_system_qty,latest_physical_qty,quantity_variance,absolute_quantity_variance,unit_cost,inventory_value,location_adjustment_exposure,variance_event_count,recurring_variance,count_records,recount_count,recount_rate,transaction_volume,location_recurrence_flag,control_tier,control_reason,count_action_flag,priority_score,recommended_count_frequency
1,SKU0188,Maintenance Parts 0188,Maintenance Parts,Z2-B02,Z2,0,0,0,0,554.00,0.00,4432.00,4,Y,13,10,83.33,97,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,94.87,Biweekly
2,SKU0188,Maintenance Parts 0188,Maintenance Parts,Z3-B03,Z3,0,0,0,0,554.00,0.00,4432.00,4,Y,13,10,83.33,91,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,94.57,Biweekly
3,SKU0208,Maintenance Parts 0208,Maintenance Parts,Z2-B02,Z2,0,0,0,0,364.00,0.00,2912.00,4,Y,13,10,83.33,11,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,75.12,Biweekly
4,SKU0208,Maintenance Parts 0208,Maintenance Parts,Z3-B03,Z3,0,0,0,0,364.00,0.00,2912.00,4,Y,13,11,84.62,11,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,75.12,Biweekly
5,SKU0277,Fasteners 0277,Fasteners,Z3-B03,Z3,0,0,0,0,563.50,0.00,2817.50,5,Y,13,10,83.33,11,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,74.16,Biweekly
6,SKU0013,Safety Supplies 0013,Safety Supplies,Z3-B03,Z3,0,0,0,0,191.50,0.00,1915.00,5,Y,13,11,91.67,134,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,71.18,Biweekly
7,SKU0277,Fasteners 0277,Fasteners,Z2-B02,Z2,0,0,0,0,563.50,0.00,2254.00,4,Y,13,10,83.33,12,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,68.49,Biweekly
8,SKU0007,Fasteners 0007,Fasteners,Z3-B03,Z3,0,0,0,0,428.50,0.00,2142.50,5,Y,13,10,83.33,10,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,67.26,Biweekly
9,SKU0259,Shipping Supplies 0259,Shipping Supplies,Z3-B03,Z3,162,162,0,0,122.30,19812.60,1223.00,5,Y,13,11,84.62,190,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,66.97,Biweekly
10,SKU0064,Packaging 0064,Packaging,Z2-B02,Z2,902,900,2,2,120.80,108720.00,1208.00,5,Y,13,10,83.33,193,Y,Critical,"Critical: recurring variance, large latest discrepancy, and repeated recounts in a recurring-variance location",Y,66.96,Weekly
11,SKU0193,Safety Supplies 0193,Safety Supplies,Z2-B02,Z2,467,469,-2,2,118.10,55388.90,1181.00,5,Y,13,10,83.33,197,Y,Critical,"Critical: recurring variance, large latest discrepancy, and repeated recounts in a recurring-variance location",Y,66.89,Weekly
12,SKU0224,Packaging 0224,Packaging,Z2-B02,Z2,292,292,0,0,112.80,32937.60,1128.00,5,Y,13,11,84.62,191,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,66.05,Biweekly
13,SKU0013,Safety Supplies 0013,Safety Supplies,Z2-B02,Z2,0,0,0,0,191.50,0.00,1532.00,4,Y,13,10,83.33,102,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,65.68,Biweekly
14,SKU0028,Maintenance Parts 0028,Maintenance Parts,Z2-B02,Z2,206,206,0,0,107.60,22165.60,1076.00,5,Y,13,10,83.33,191,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,65.52,Biweekly
15,SKU0124,Packaging 0124,Packaging,Z3-B03,Z3,303,303,0,0,102.80,31148.40,1028.00,5,Y,13,10,83.33,196,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,65.29,Biweekly
16,SKU0064,Packaging 0064,Packaging,Z3-B03,Z3,24,24,0,0,120.80,2899.20,966.40,4,Y,13,11,91.67,198,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,64.76,Biweekly
17,SKU0129,Shipping Supplies 0129,Shipping Supplies,Z2-B02,Z2,584,584,0,0,121.30,70839.20,970.40,4,Y,13,10,83.33,194,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,64.60,Biweekly
