receipt_id,order_id,receipt_date,cash_received
RCPT-0001,ORD-0001,2023-03-15,34953.48
RCPT-0002,ORD-0001,2023-04-17,37866.26
RCPT-0003,ORD-0003,2023-03-14,24170.24
RCPT-0004,ORD-0004,2023-02-28,6255.02
RCPT-0005,ORD-0004,2023-03-13,5117.74
RCPT-0006,ORD-0006,2023-03-27,13419.0
RCPT-0007,ORD-0007,2023-03-22,48098.1
RCPT-0008,ORD-0009,2023-03-13,61193.06
RCPT-0009,ORD-0011,2023-03-31,15751.46
RCPT-0010,ORD-0011,2023-05-07,10500.97
RCPT-0011,ORD-0013,2023-05-20,86643.7
RCPT-0012,ORD-0014,2023-05-06,54307.84
RCPT-0013,ORD-0015,2023-05-27,9237.0
RCPT-0014,ORD-0017,2023-04-30,49722.24
RCPT-0015,ORD-0017,2023-05-29,33148.16
RCPT-0016,ORD-0018,2023-05-12,21965.17
RCPT-0017,ORD-0018,2023-06-13,16570.21
RCPT-0018,ORD-0019,2023-06-03,7773.84
RCPT-0019,ORD-0021,2023-06-22,50782.48
RCPT-0020,ORD-0022,2023-06-09,3241.96
RCPT-0021,ORD-0022,2023-06-20,4665.26
RCPT-0022,ORD-0024,2023-06-23,62612.88
RCPT-0023,ORD-0025,2023-07-14,32025.0
RCPT-0024,ORD-0026,2023-07-05,14625.8
RCPT-0025,ORD-0027,2023-06-06,7186.77
RCPT-0026,ORD-0028,2023-06-17,64730.4
RCPT-0027,ORD-0029,2023-07-11,32287.32
RCPT-0028,ORD-0030,2023-07-17,102831.92
RCPT-0029,ORD-0031,2023-07-14,26467.14
RCPT-0030,ORD-0032,2023-07-06,9582.87
RCPT-0031,ORD-0033,2023-08-09,10551.94
RCPT-0032,ORD-0034,2023-06-22,7400.0
RCPT-0033,ORD-0035,2023-07-30,18779.28
RCPT-0034,ORD-0036,2023-08-18,11740.0
RCPT-0035,ORD-0037,2023-08-05,39739.06
RCPT-0036,ORD-0038,2023-09-07,7033.0
RCPT-0037,ORD-0040,2023-09-03,6910.59
RCPT-0038,ORD-0040,2023-09-26,7486.47
RCPT-0039,ORD-0041,2023-08-16,39984.26
RCPT-0040,ORD-0042,2023-09-29,11966.0
RCPT-0041,ORD-0043,2023-10-15,72450.81
RCPT-0042,ORD-0044,2023-10-01,53001.24
RCPT-0043,ORD-0048,2023-09-28,13563.68
RCPT-0044,ORD-0049,2023-11-23,41155.62
RCPT-0045,ORD-0050,2023-11-20,8059.43
RCPT-0046,ORD-0051,2023-10-10,17162.55
RCPT-0047,ORD-0052,2023-10-24,76839.33
RCPT-0048,ORD-0053,2023-09-28,1751.93
RCPT-0049,ORD-0053,2023-11-08,1120.08
RCPT-0050,ORD-0055,2023-11-22,63905.38
RCPT-0051,ORD-0056,2023-11-02,51780.12
RCPT-0052,ORD-0057,2023-11-11,5169.18
RCPT-0053,ORD-0057,2023-12-16,6852.18
RCPT-0054,ORD-0058,2023-11-12,19834.08
RCPT-0055,ORD-0059,2023-11-05,24782.76
RCPT-0056,ORD-0059,2023-11-17,17946.14
RCPT-0057,ORD-0060,2023-12-17,2116.52
RCPT-0058,ORD-0060,2024-01-08,2805.62
RCPT-0059,ORD-0061,2023-12-22,9636.48
RCPT-0060,ORD-0063,2024-02-05,19747.8
RCPT-0061,ORD-0064,2023-11-26,50683.72
RCPT-0062,ORD-0065,2023-11-21,5692.77
RCPT-0063,ORD-0066,2024-02-07,52338.72
RCPT-0064,ORD-0067,2024-01-19,53805.7
RCPT-0065,ORD-0068,2024-02-09,10929.01
RCPT-0066,ORD-0068,2024-03-30,4910.13
RCPT-0067,ORD-0069,2024-02-15,83491.74
RCPT-0068,ORD-0070,2024-02-23,14266.83
RCPT-0069,ORD-0071,2024-02-11,35414.49
RCPT-0070,ORD-0073,2024-02-29,44333.52
RCPT-0071,ORD-0074,2024-02-25,10294.41
RCPT-0072,ORD-0074,2024-03-24,11152.27
RCPT-0073,ORD-0075,2024-03-02,8813.85
RCPT-0074,ORD-0076,2024-02-21,2541.6
RCPT-0075,ORD-0078,2024-03-27,78326.36
RCPT-0076,ORD-0079,2024-03-05,10815.73
RCPT-0077,ORD-0080,2024-03-22,4633.68
RCPT-0078,ORD-0080,2024-05-07,4109.12
RCPT-0079,ORD-0081,2024-04-17,34530.34
RCPT-0080,ORD-0082,2024-04-11,40440.5
RCPT-0081,ORD-0083,2024-03-20,2845.52
RCPT-0082,ORD-0083,2024-04-24,1401.53
RCPT-0083,ORD-0084,2024-05-13,30292.32
RCPT-0084,ORD-0085,2024-04-13,7668.23
RCPT-0085,ORD-0086,2024-03-22,71432.1
RCPT-0086,ORD-0088,2024-05-19,19310.2
RCPT-0087,ORD-0089,2024-04-24,1786.49
RCPT-0088,ORD-0089,2024-05-21,1935.37
RCPT-0089,ORD-0091,2024-05-20,38389.66
RCPT-0090,ORD-0092,2024-06-17,66509.1
RCPT-0091,ORD-0093,2024-05-20,5607.52
RCPT-0092,ORD-0093,2024-06-19,5607.53
RCPT-0093,ORD-0094,2024-06-09,32124.75
RCPT-0094,ORD-0095,2024-06-01,8055.6
RCPT-0095,ORD-0096,2024-07-18,95148.12
RCPT-0096,ORD-0097,2024-08-04,66935.97
RCPT-0097,ORD-0098,2024-07-15,15233.55
RCPT-0098,ORD-0099,2024-08-04,90477.66
RCPT-0099,ORD-0100,2024-06-15,18125.9
RCPT-0100,ORD-0101,2024-06-23,7711.89
RCPT-0101,ORD-0102,2024-07-16,16427.52
RCPT-0102,ORD-0102,2024-08-05,20078.08
RCPT-0103,ORD-0103,2024-08-02,25736.62
RCPT-0104,ORD-0104,2024-08-16,7811.35
RCPT-0105,ORD-0104,2024-10-01,5207.57
RCPT-0106,ORD-0105,2024-07-21,14876.19
RCPT-0107,ORD-0106,2024-06-20,12170.86
RCPT-0108,ORD-0107,2024-07-17,84545.89
RCPT-0109,ORD-0109,2024-08-04,29291.19
RCPT-0110,ORD-0110,2024-09-08,47489.36
RCPT-0111,ORD-0111,2024-09-02,13534.08
RCPT-0112,ORD-0112,2024-10-07,18313.74
RCPT-0113,ORD-0113,2024-09-16,39071.34
RCPT-0114,ORD-0114,2024-09-30,21668.56
RCPT-0115,ORD-0115,2024-09-23,49099.47
RCPT-0116,ORD-0116,2024-09-30,7454.92
RCPT-0117,ORD-0116,2024-11-01,12163.28
RCPT-0118,ORD-0117,2024-10-05,60865.74
RCPT-0119,ORD-0118,2024-08-26,24208.88
RCPT-0120,ORD-0119,2024-09-15,40582.18
RCPT-0121,ORD-0121,2024-10-21,43867.46
RCPT-0122,ORD-0122,2024-11-09,47055.0
RCPT-0123,ORD-0123,2024-11-07,3974.16
RCPT-0124,ORD-0124,2024-11-15,14461.65
RCPT-0125,ORD-0126,2024-11-10,28829.34
RCPT-0126,ORD-0126,2024-12-31,26611.7
RCPT-0127,ORD-0128,2024-11-08,72462.0
RCPT-0128,ORD-0129,2024-12-02,45279.84
RCPT-0129,ORD-0130,2024-12-07,82633.45
RCPT-0130,ORD-0131,2024-11-26,21705.6
RCPT-0131,ORD-0132,2025-01-03,39642.33
RCPT-0132,ORD-0133,2024-11-29,14750.79
RCPT-0133,ORD-0134,2025-01-17,31476.6
RCPT-0134,ORD-0135,2025-02-04,34635.34
RCPT-0135,ORD-0135,2025-03-14,22143.91
RCPT-0136,ORD-0136,2025-01-28,39367.68
RCPT-0137,ORD-0137,2025-01-06,84009.9
RCPT-0138,ORD-0138,2025-01-03,4302.4
RCPT-0139,ORD-0138,2025-02-04,2868.26
RCPT-0140,ORD-0139,2025-01-11,70322.42
RCPT-0141,ORD-0140,2025-02-17,9336.43
RCPT-0142,ORD-0140,2025-03-19,8970.29
RCPT-0143,ORD-0141,2025-02-05,5381.8
RCPT-0144,ORD-0144,2025-01-16,10750.08
RCPT-0145,ORD-0145,2025-02-08,25248.4
RCPT-0146,ORD-0145,2025-03-08,11881.6
RCPT-0147,ORD-0146,2025-02-11,31078.25
RCPT-0148,ORD-0147,2025-03-20,5597.65
RCPT-0149,ORD-0147,2025-05-08,5167.07
RCPT-0150,ORD-0148,2025-02-19,12260.92
RCPT-0151,ORD-0149,2025-02-02,27972.78
RCPT-0152,ORD-0150,2025-04-14,42795.32
RCPT-0153,ORD-0150,2025-05-19,22046.08
RCPT-0154,ORD-0151,2025-04-04,30531.72
RCPT-0155,ORD-0152,2025-05-01,14442.12
RCPT-0156,ORD-0152,2025-05-11,11816.28
RCPT-0157,ORD-0153,2025-04-11,18025.55
RCPT-0158,ORD-0153,2025-04-30,14162.94
RCPT-0159,ORD-0154,2025-04-17,32071.69
RCPT-0160,ORD-0155,2025-03-26,4869.51
RCPT-0161,ORD-0155,2025-05-09,5491.14
RCPT-0162,ORD-0157,2025-04-11,70289.06
RCPT-0163,ORD-0159,2025-04-12,13850.61
RCPT-0164,ORD-0159,2025-05-01,13307.45
RCPT-0165,ORD-0160,2025-04-23,19714.1
RCPT-0166,ORD-0161,2025-05-17,9546.15
RCPT-0167,ORD-0161,2025-07-03,5140.23
RCPT-0168,ORD-0162,2025-05-16,12629.0
RCPT-0169,ORD-0163,2025-05-18,14009.7
RCPT-0170,ORD-0163,2025-05-28,24906.13
RCPT-0171,ORD-0164,2025-05-24,29700.45
RCPT-0172,ORD-0164,2025-06-16,18203.5
RCPT-0173,ORD-0165,2025-05-02,63805.01
RCPT-0174,ORD-0166,2025-05-20,3407.3
RCPT-0175,ORD-0167,2025-05-31,22256.45
RCPT-0176,ORD-0168,2025-07-18,52255.98
RCPT-0177,ORD-0169,2025-07-10,3641.68
RCPT-0178,ORD-0170,2025-07-05,80000.14
RCPT-0179,ORD-0171,2025-06-18,8429.43
RCPT-0180,ORD-0175,2025-07-12,21136.83
RCPT-0181,ORD-0176,2025-08-14,9595.62
RCPT-0182,ORD-0176,2025-10-04,9219.32
RCPT-0183,ORD-0177,2025-08-08,35675.22
RCPT-0184,ORD-0178,2025-07-06,42972.91
RCPT-0185,ORD-0179,2025-08-03,69136.96
RCPT-0186,ORD-0181,2025-08-15,9352.0
RCPT-0187,ORD-0183,2025-08-25,91191.6
RCPT-0188,ORD-0185,2025-09-11,43530.88
RCPT-0189,ORD-0185,2025-11-01,25565.75
RCPT-0190,ORD-0186,2025-10-02,54387.03
RCPT-0191,ORD-0187,2025-09-14,7682.36
RCPT-0192,ORD-0187,2025-10-09,4511.86
RCPT-0193,ORD-0190,2025-10-30,13430.98
RCPT-0194,ORD-0191,2025-09-09,17239.95
RCPT-0195,ORD-0191,2025-10-23,17239.95
RCPT-0196,ORD-0192,2025-11-09,4407.42
RCPT-0197,ORD-0193,2025-10-14,22242.72
RCPT-0198,ORD-0196,2025-10-17,36249.78
RCPT-0199,ORD-0196,2025-12-02,24166.52
RCPT-0200,ORD-0197,2025-10-27,49007.01
RCPT-0201,ORD-0197,2025-12-08,35487.84
RCPT-0202,ORD-0198,2025-11-25,16908.81
RCPT-0203,ORD-0199,2025-11-12,11158.8
RCPT-0204,ORD-0200,2025-12-31,20674.83
RCPT-0205,ORD-0201,2025-11-26,36856.4
RCPT-0206,ORD-0202,2025-11-11,70039.5
RCPT-0207,ORD-0203,2025-12-16,67705.14
RCPT-0208,ORD-0204,2026-01-28,17145.08
RCPT-0209,ORD-0206,2025-12-24,66277.12
RCPT-0210,ORD-0207,2025-12-15,15764.15
RCPT-0211,ORD-0207,2026-02-12,17077.83
RCPT-0212,ORD-0208,2025-12-20,78632.3
RCPT-0213,ORD-0210,2026-02-12,6409.05
RCPT-0214,ORD-0210,2026-03-16,5035.68
RCPT-0215,ORD-0211,2026-02-28,2788.88
RCPT-0216,ORD-0211,2026-03-28,3408.64
RCPT-0217,ORD-0212,2026-02-12,14288.3
RCPT-0218,ORD-0213,2026-02-03,13749.4
RCPT-0219,ORD-0214,2026-01-25,105124.32
RCPT-0220,ORD-0215,2026-02-21,7217.25
RCPT-0221,ORD-0216,2026-02-20,88452.0
RCPT-0222,ORD-0209,2026-04-05,0
RCPT-0223,ORD-0205,2026-04-01,0
RCPT-0224,ORD-0195,2026-01-07,0
RCPT-0225,ORD-0194,2026-01-02,0
RCPT-0226,ORD-0189,2025-12-17,0
RCPT-0227,ORD-0188,2025-12-17,0
RCPT-0228,ORD-0184,2025-10-16,0
RCPT-0229,ORD-0182,2025-12-01,0
RCPT-0230,ORD-0180,2025-10-20,0
