expense_id,expense_date,expense_category,region,amount
EXP-0001,2023-01-01,Payroll,Midwest,25000.0
EXP-0002,2023-01-01,Freight,Midwest,2784.94
EXP-0003,2023-01-01,Marketing,Midwest,1625.79
EXP-0004,2023-01-01,Software,Midwest,1411.03
EXP-0005,2023-01-01,Facilities,Midwest,2083.61
EXP-0006,2023-01-01,Payroll,South,23500.0
EXP-0007,2023-01-01,Freight,South,2586.81
EXP-0008,2023-01-01,Marketing,South,2116.65
EXP-0009,2023-01-01,Software,South,1395.74
EXP-0010,2023-01-01,Facilities,South,1880.93
EXP-0011,2023-01-01,Payroll,West,27000.0
EXP-0012,2023-01-01,Freight,West,2690.54
EXP-0013,2023-01-01,Marketing,West,1608.35
EXP-0014,2023-01-01,Software,West,1397.7
EXP-0015,2023-01-01,Facilities,West,2066.05
EXP-0016,2023-01-01,Payroll,Northeast,28500.0
EXP-0017,2023-01-01,Freight,Northeast,2632.45
EXP-0018,2023-01-01,Marketing,Northeast,1723.58
EXP-0019,2023-01-01,Software,Northeast,1379.21
EXP-0020,2023-01-01,Facilities,Northeast,2290.61
EXP-0021,2023-02-01,Payroll,Midwest,25375.0
EXP-0022,2023-02-01,Freight,Midwest,2317.39
EXP-0023,2023-02-01,Marketing,Midwest,2035.72
EXP-0024,2023-02-01,Software,Midwest,1411.73
EXP-0025,2023-02-01,Facilities,Midwest,2324.12
EXP-0026,2023-02-01,Payroll,South,23852.5
EXP-0027,2023-02-01,Freight,South,2236.78
EXP-0028,2023-02-01,Marketing,South,2109.89
EXP-0029,2023-02-01,Software,South,1658.0
EXP-0030,2023-02-01,Facilities,South,1938.84
EXP-0031,2023-02-01,Payroll,West,27405.0
EXP-0032,2023-02-01,Freight,West,2350.35
EXP-0033,2023-02-01,Marketing,West,1676.72
EXP-0034,2023-02-01,Software,West,1686.33
EXP-0035,2023-02-01,Facilities,West,2135.01
EXP-0036,2023-02-01,Payroll,Northeast,28927.5
EXP-0037,2023-02-01,Freight,Northeast,2696.61
EXP-0038,2023-02-01,Marketing,Northeast,2025.12
EXP-0039,2023-02-01,Software,Northeast,1686.5
EXP-0040,2023-02-01,Facilities,Northeast,1965.57
EXP-0041,2023-03-01,Payroll,Midwest,25750.0
EXP-0042,2023-03-01,Freight,Midwest,2405.84
EXP-0043,2023-03-01,Marketing,Midwest,2203.79
EXP-0044,2023-03-01,Software,Midwest,1490.2
EXP-0045,2023-03-01,Facilities,Midwest,2111.6
EXP-0046,2023-03-01,Payroll,South,24205.0
EXP-0047,2023-03-01,Freight,South,2560.59
EXP-0048,2023-03-01,Marketing,South,1906.35
EXP-0049,2023-03-01,Software,South,1614.04
EXP-0050,2023-03-01,Facilities,South,2012.71
EXP-0051,2023-03-01,Payroll,West,27810.0
EXP-0052,2023-03-01,Freight,West,2837.08
EXP-0053,2023-03-01,Marketing,West,2185.91
EXP-0054,2023-03-01,Software,West,1703.09
EXP-0055,2023-03-01,Facilities,West,2109.43
EXP-0056,2023-03-01,Payroll,Northeast,29355.0
EXP-0057,2023-03-01,Freight,Northeast,2922.41
EXP-0058,2023-03-01,Marketing,Northeast,1794.65
EXP-0059,2023-03-01,Software,Northeast,1437.42
EXP-0060,2023-03-01,Facilities,Northeast,2302.79
EXP-0061,2023-04-01,Payroll,Midwest,26125.0
EXP-0062,2023-04-01,Freight,Midwest,2991.6
EXP-0063,2023-04-01,Marketing,Midwest,1965.34
EXP-0064,2023-04-01,Software,Midwest,1594.23
EXP-0065,2023-04-01,Facilities,Midwest,2445.01
EXP-0066,2023-04-01,Payroll,South,24557.5
EXP-0067,2023-04-01,Freight,South,3046.12
EXP-0068,2023-04-01,Marketing,South,2003.56
EXP-0069,2023-04-01,Software,South,1648.27
EXP-0070,2023-04-01,Facilities,South,2505.79
EXP-0071,2023-04-01,Payroll,West,28215.0
EXP-0072,2023-04-01,Freight,West,2386.53
EXP-0073,2023-04-01,Marketing,West,1995.24
EXP-0074,2023-04-01,Software,West,1720.06
EXP-0075,2023-04-01,Facilities,West,2428.78
EXP-0076,2023-04-01,Payroll,Northeast,29782.5
EXP-0077,2023-04-01,Freight,Northeast,3012.2
EXP-0078,2023-04-01,Marketing,Northeast,1834.54
EXP-0079,2023-04-01,Software,Northeast,1608.43
EXP-0080,2023-04-01,Facilities,Northeast,2046.57
EXP-0081,2023-05-01,Payroll,Midwest,26500.0
EXP-0082,2023-05-01,Freight,Midwest,2520.88
EXP-0083,2023-05-01,Marketing,Midwest,2287.11
EXP-0084,2023-05-01,Software,Midwest,1770.21
EXP-0085,2023-05-01,Facilities,Midwest,2565.18
EXP-0086,2023-05-01,Payroll,South,24910.0
EXP-0087,2023-05-01,Freight,South,2914.64
EXP-0088,2023-05-01,Marketing,South,1909.21
EXP-0089,2023-05-01,Software,South,1656.76
EXP-0090,2023-05-01,Facilities,South,2360.14
EXP-0091,2023-05-01,Payroll,West,28620.0
EXP-0092,2023-05-01,Freight,West,2481.39
EXP-0093,2023-05-01,Marketing,West,1942.24
EXP-0094,2023-05-01,Software,West,1931.68
EXP-0095,2023-05-01,Facilities,West,2265.25
EXP-0096,2023-05-01,Payroll,Northeast,30210.0
EXP-0097,2023-05-01,Freight,Northeast,3083.8
EXP-0098,2023-05-01,Marketing,Northeast,1820.96
EXP-0099,2023-05-01,Software,Northeast,1687.65
EXP-0100,2023-05-01,Facilities,Northeast,2460.4
EXP-0101,2023-06-01,Payroll,Midwest,26875.0
EXP-0102,2023-06-01,Freight,Midwest,2371.62
EXP-0103,2023-06-01,Marketing,Midwest,1594.78
EXP-0104,2023-06-01,Software,Midwest,1760.42
EXP-0105,2023-06-01,Facilities,Midwest,2468.16
EXP-0106,2023-06-01,Payroll,South,25262.5
EXP-0107,2023-06-01,Freight,South,2594.03
EXP-0108,2023-06-01,Marketing,South,1701.64
EXP-0109,2023-06-01,Software,South,1332.0
EXP-0110,2023-06-01,Facilities,South,1916.56
EXP-0111,2023-06-01,Payroll,West,29025.0
EXP-0112,2023-06-01,Freight,West,2517.74
EXP-0113,2023-06-01,Marketing,West,1672.15
EXP-0114,2023-06-01,Software,West,1761.95
EXP-0115,2023-06-01,Facilities,West,2220.84
EXP-0116,2023-06-01,Payroll,Northeast,30637.5
EXP-0117,2023-06-01,Freight,Northeast,2128.09
EXP-0118,2023-06-01,Marketing,Northeast,1807.85
EXP-0119,2023-06-01,Software,Northeast,1613.51
EXP-0120,2023-06-01,Facilities,Northeast,2215.51
EXP-0121,2023-07-01,Payroll,Midwest,25000.0
EXP-0122,2023-07-01,Freight,Midwest,2708.14
EXP-0123,2023-07-01,Marketing,Midwest,1993.65
EXP-0124,2023-07-01,Software,Midwest,1392.73
EXP-0125,2023-07-01,Facilities,Midwest,2291.91
EXP-0126,2023-07-01,Payroll,South,23500.0
EXP-0127,2023-07-01,Freight,South,2692.47
EXP-0128,2023-07-01,Marketing,South,2081.4
EXP-0129,2023-07-01,Software,South,1551.79
EXP-0130,2023-07-01,Facilities,South,2402.56
EXP-0131,2023-07-01,Payroll,West,27000.0
EXP-0132,2023-07-01,Freight,West,2567.95
EXP-0133,2023-07-01,Marketing,West,1957.67
EXP-0134,2023-07-01,Software,West,1666.42
EXP-0135,2023-07-01,Facilities,West,1942.29
EXP-0136,2023-07-01,Payroll,Northeast,28500.0
EXP-0137,2023-07-01,Freight,Northeast,2506.62
EXP-0138,2023-07-01,Marketing,Northeast,2034.91
EXP-0139,2023-07-01,Software,Northeast,1480.2
EXP-0140,2023-07-01,Facilities,Northeast,2008.94
EXP-0141,2023-08-01,Payroll,Midwest,25375.0
EXP-0142,2023-08-01,Freight,Midwest,2422.35
EXP-0143,2023-08-01,Marketing,Midwest,1862.28
EXP-0144,2023-08-01,Software,Midwest,1821.73
EXP-0145,2023-08-01,Facilities,Midwest,2348.33
EXP-0146,2023-08-01,Payroll,South,23852.5
EXP-0147,2023-08-01,Freight,South,2710.54
EXP-0148,2023-08-01,Marketing,South,2139.87
EXP-0149,2023-08-01,Software,South,1549.2
EXP-0150,2023-08-01,Facilities,South,2516.98
EXP-0151,2023-08-01,Payroll,West,27405.0
EXP-0152,2023-08-01,Freight,West,2576.24
EXP-0153,2023-08-01,Marketing,West,1949.14
EXP-0154,2023-08-01,Software,West,1446.66
EXP-0155,2023-08-01,Facilities,West,2219.04
EXP-0156,2023-08-01,Payroll,Northeast,28927.5
EXP-0157,2023-08-01,Freight,Northeast,2715.15
EXP-0158,2023-08-01,Marketing,Northeast,1697.32
EXP-0159,2023-08-01,Software,Northeast,1707.27
EXP-0160,2023-08-01,Facilities,Northeast,2074.26
EXP-0161,2023-09-01,Payroll,Midwest,25750.0
EXP-0162,2023-09-01,Freight,Midwest,2334.46
EXP-0163,2023-09-01,Marketing,Midwest,1925.13
EXP-0164,2023-09-01,Software,Midwest,1839.64
EXP-0165,2023-09-01,Facilities,Midwest,2052.4
EXP-0166,2023-09-01,Payroll,South,24205.0
EXP-0167,2023-09-01,Freight,South,2820.57
EXP-0168,2023-09-01,Marketing,South,1820.3
EXP-0169,2023-09-01,Software,South,1509.85
EXP-0170,2023-09-01,Facilities,South,2259.71
EXP-0171,2023-09-01,Payroll,West,27810.0
EXP-0172,2023-09-01,Freight,West,2767.24
EXP-0173,2023-09-01,Marketing,West,2049.1
EXP-0174,2023-09-01,Software,West,1863.89
EXP-0175,2023-09-01,Facilities,West,2103.45
EXP-0176,2023-09-01,Payroll,Northeast,29355.0
EXP-0177,2023-09-01,Freight,Northeast,2512.43
EXP-0178,2023-09-01,Marketing,Northeast,1888.82
EXP-0179,2023-09-01,Software,Northeast,1511.3
EXP-0180,2023-09-01,Facilities,Northeast,2215.73
EXP-0181,2023-10-01,Payroll,Midwest,26125.0
EXP-0182,2023-10-01,Freight,Midwest,3095.09
EXP-0183,2023-10-01,Marketing,Midwest,2141.15
EXP-0184,2023-10-01,Software,Midwest,1564.51
EXP-0185,2023-10-01,Facilities,Midwest,2223.43
EXP-0186,2023-10-01,Payroll,South,24557.5
EXP-0187,2023-10-01,Freight,South,2459.98
EXP-0188,2023-10-01,Marketing,South,2265.54
EXP-0189,2023-10-01,Software,South,1537.11
EXP-0190,2023-10-01,Facilities,South,2311.76
EXP-0191,2023-10-01,Payroll,West,28215.0
EXP-0192,2023-10-01,Freight,West,2608.72
EXP-0193,2023-10-01,Marketing,West,1836.29
EXP-0194,2023-10-01,Software,West,1922.02
EXP-0195,2023-10-01,Facilities,West,2296.79
EXP-0196,2023-10-01,Payroll,Northeast,29782.5
EXP-0197,2023-10-01,Freight,Northeast,2666.72
EXP-0198,2023-10-01,Marketing,Northeast,2281.16
EXP-0199,2023-10-01,Software,Northeast,1741.86
EXP-0200,2023-10-01,Facilities,Northeast,2640.68
EXP-0201,2023-11-01,Payroll,Midwest,26500.0
EXP-0202,2023-11-01,Freight,Midwest,2486.52
EXP-0203,2023-11-01,Marketing,Midwest,1938.47
EXP-0204,2023-11-01,Software,Midwest,1698.52
EXP-0205,2023-11-01,Facilities,Midwest,2204.84
EXP-0206,2023-11-01,Payroll,South,24910.0
EXP-0207,2023-11-01,Freight,South,2257.45
EXP-0208,2023-11-01,Marketing,South,1877.32
EXP-0209,2023-11-01,Software,South,1576.11
EXP-0210,2023-11-01,Facilities,South,2093.91
EXP-0211,2023-11-01,Payroll,West,28620.0
EXP-0212,2023-11-01,Freight,West,2327.19
EXP-0213,2023-11-01,Marketing,West,1947.32
EXP-0214,2023-11-01,Software,West,1653.46
EXP-0215,2023-11-01,Facilities,West,2021.15
EXP-0216,2023-11-01,Payroll,Northeast,30210.0
EXP-0217,2023-11-01,Freight,Northeast,2660.12
EXP-0218,2023-11-01,Marketing,Northeast,2085.61
EXP-0219,2023-11-01,Software,Northeast,1722.01
EXP-0220,2023-11-01,Facilities,Northeast,1979.42
EXP-0221,2023-12-01,Payroll,Midwest,26875.0
EXP-0222,2023-12-01,Freight,Midwest,2761.17
EXP-0223,2023-12-01,Marketing,Midwest,2068.22
EXP-0224,2023-12-01,Software,Midwest,1678.29
EXP-0225,2023-12-01,Facilities,Midwest,2151.71
EXP-0226,2023-12-01,Payroll,South,25262.5
EXP-0227,2023-12-01,Freight,South,2444.51
EXP-0228,2023-12-01,Marketing,South,1733.07
EXP-0229,2023-12-01,Software,South,1747.18
EXP-0230,2023-12-01,Facilities,South,2175.42
EXP-0231,2023-12-01,Payroll,West,29025.0
EXP-0232,2023-12-01,Freight,West,2405.6
EXP-0233,2023-12-01,Marketing,West,2035.43
EXP-0234,2023-12-01,Software,West,1801.16
EXP-0235,2023-12-01,Facilities,West,1958.47
EXP-0236,2023-12-01,Payroll,Northeast,30637.5
EXP-0237,2023-12-01,Freight,Northeast,2575.61
EXP-0238,2023-12-01,Marketing,Northeast,1933.36
EXP-0239,2023-12-01,Software,Northeast,1680.3
EXP-0240,2023-12-01,Facilities,Northeast,2156.73
EXP-0241,2024-01-01,Payroll,Midwest,25000.0
EXP-0242,2024-01-01,Freight,Midwest,2376.77
EXP-0243,2024-01-01,Marketing,Midwest,1770.88
EXP-0244,2024-01-01,Software,Midwest,1836.54
EXP-0245,2024-01-01,Facilities,Midwest,1994.9
EXP-0246,2024-01-01,Payroll,South,23500.0
EXP-0247,2024-01-01,Freight,South,2814.1
EXP-0248,2024-01-01,Marketing,South,2114.3
EXP-0249,2024-01-01,Software,South,1738.0
EXP-0250,2024-01-01,Facilities,South,2334.14
EXP-0251,2024-01-01,Payroll,West,27000.0
EXP-0252,2024-01-01,Freight,West,2956.23
EXP-0253,2024-01-01,Marketing,West,2178.18
EXP-0254,2024-01-01,Software,West,1503.67
EXP-0255,2024-01-01,Facilities,West,2460.14
EXP-0256,2024-01-01,Payroll,Northeast,28500.0
EXP-0257,2024-01-01,Freight,Northeast,2457.32
EXP-0258,2024-01-01,Marketing,Northeast,2203.6
EXP-0259,2024-01-01,Software,Northeast,1715.72
EXP-0260,2024-01-01,Facilities,Northeast,2528.98
EXP-0261,2024-02-01,Payroll,Midwest,25375.0
EXP-0262,2024-02-01,Freight,Midwest,2731.85
EXP-0263,2024-02-01,Marketing,Midwest,2178.14
EXP-0264,2024-02-01,Software,Midwest,1459.25
EXP-0265,2024-02-01,Facilities,Midwest,2518.01
EXP-0266,2024-02-01,Payroll,South,23852.5
EXP-0267,2024-02-01,Freight,South,2389.46
EXP-0268,2024-02-01,Marketing,South,2069.89
EXP-0269,2024-02-01,Software,South,1783.28
EXP-0270,2024-02-01,Facilities,South,2251.81
EXP-0271,2024-02-01,Payroll,West,27405.0
EXP-0272,2024-02-01,Freight,West,2945.22
EXP-0273,2024-02-01,Marketing,West,2231.31
EXP-0274,2024-02-01,Software,West,1848.61
EXP-0275,2024-02-01,Facilities,West,2188.64
EXP-0276,2024-02-01,Payroll,Northeast,28927.5
EXP-0277,2024-02-01,Freight,Northeast,2795.0
EXP-0278,2024-02-01,Marketing,Northeast,2240.97
EXP-0279,2024-02-01,Software,Northeast,1801.6
EXP-0280,2024-02-01,Facilities,Northeast,2137.61
EXP-0281,2024-03-01,Payroll,Midwest,25750.0
EXP-0282,2024-03-01,Freight,Midwest,2614.6
EXP-0283,2024-03-01,Marketing,Midwest,2264.63
EXP-0284,2024-03-01,Software,Midwest,1914.06
EXP-0285,2024-03-01,Facilities,Midwest,2127.58
EXP-0286,2024-03-01,Payroll,South,24205.0
EXP-0287,2024-03-01,Freight,South,2848.49
EXP-0288,2024-03-01,Marketing,South,2082.83
EXP-0289,2024-03-01,Software,South,1948.31
EXP-0290,2024-03-01,Facilities,South,2331.41
EXP-0291,2024-03-01,Payroll,West,27810.0
EXP-0292,2024-03-01,Freight,West,2759.4
EXP-0293,2024-03-01,Marketing,West,1892.25
EXP-0294,2024-03-01,Software,West,1757.62
EXP-0295,2024-03-01,Facilities,West,2142.11
EXP-0296,2024-03-01,Payroll,Northeast,29355.0
EXP-0297,2024-03-01,Freight,Northeast,2425.09
EXP-0298,2024-03-01,Marketing,Northeast,2056.5
EXP-0299,2024-03-01,Software,Northeast,1640.99
EXP-0300,2024-03-01,Facilities,Northeast,2126.63
EXP-0301,2024-04-01,Payroll,Midwest,26125.0
EXP-0302,2024-04-01,Freight,Midwest,2439.89
EXP-0303,2024-04-01,Marketing,Midwest,1670.77
EXP-0304,2024-04-01,Software,Midwest,1727.15
EXP-0305,2024-04-01,Facilities,Midwest,2348.52
EXP-0306,2024-04-01,Payroll,South,24557.5
EXP-0307,2024-04-01,Freight,South,2534.29
EXP-0308,2024-04-01,Marketing,South,1644.59
EXP-0309,2024-04-01,Software,South,1506.52
EXP-0310,2024-04-01,Facilities,South,2413.46
EXP-0311,2024-04-01,Payroll,West,28215.0
EXP-0312,2024-04-01,Freight,West,2237.09
EXP-0313,2024-04-01,Marketing,West,1903.3
EXP-0314,2024-04-01,Software,West,1351.26
EXP-0315,2024-04-01,Facilities,West,2084.25
EXP-0316,2024-04-01,Payroll,Northeast,29782.5
EXP-0317,2024-04-01,Freight,Northeast,2376.32
EXP-0318,2024-04-01,Marketing,Northeast,1654.48
EXP-0319,2024-04-01,Software,Northeast,1664.01
EXP-0320,2024-04-01,Facilities,Northeast,1910.22
EXP-0321,2024-05-01,Payroll,Midwest,26500.0
EXP-0322,2024-05-01,Freight,Midwest,2903.99
EXP-0323,2024-05-01,Marketing,Midwest,1747.83
EXP-0324,2024-05-01,Software,Midwest,1516.13
EXP-0325,2024-05-01,Facilities,Midwest,2290.5
EXP-0326,2024-05-01,Payroll,South,24910.0
EXP-0327,2024-05-01,Freight,South,2753.91
EXP-0328,2024-05-01,Marketing,South,1801.49
EXP-0329,2024-05-01,Software,South,1496.26
EXP-0330,2024-05-01,Facilities,South,2420.99
EXP-0331,2024-05-01,Payroll,West,28620.0
EXP-0332,2024-05-01,Freight,West,2404.05
EXP-0333,2024-05-01,Marketing,West,1760.92
EXP-0334,2024-05-01,Software,West,1421.47
EXP-0335,2024-05-01,Facilities,West,2276.62
EXP-0336,2024-05-01,Payroll,Northeast,30210.0
EXP-0337,2024-05-01,Freight,Northeast,2435.87
EXP-0338,2024-05-01,Marketing,Northeast,2001.16
EXP-0339,2024-05-01,Software,Northeast,1622.96
EXP-0340,2024-05-01,Facilities,Northeast,2417.29
EXP-0341,2024-06-01,Payroll,Midwest,26875.0
EXP-0342,2024-06-01,Freight,Midwest,2556.67
EXP-0343,2024-06-01,Marketing,Midwest,1884.07
EXP-0344,2024-06-01,Software,Midwest,1466.57
EXP-0345,2024-06-01,Facilities,Midwest,2226.27
EXP-0346,2024-06-01,Payroll,South,25262.5
EXP-0347,2024-06-01,Freight,South,2588.8
EXP-0348,2024-06-01,Marketing,South,2169.9
EXP-0349,2024-06-01,Software,South,1463.82
EXP-0350,2024-06-01,Facilities,South,2286.68
EXP-0351,2024-06-01,Payroll,West,29025.0
EXP-0352,2024-06-01,Freight,West,2419.74
EXP-0353,2024-06-01,Marketing,West,2001.44
EXP-0354,2024-06-01,Software,West,1765.03
EXP-0355,2024-06-01,Facilities,West,2156.15
EXP-0356,2024-06-01,Payroll,Northeast,30637.5
EXP-0357,2024-06-01,Freight,Northeast,2403.65
EXP-0358,2024-06-01,Marketing,Northeast,2158.7
EXP-0359,2024-06-01,Software,Northeast,1803.41
EXP-0360,2024-06-01,Facilities,Northeast,2218.54
EXP-0361,2024-07-01,Payroll,Midwest,25000.0
EXP-0362,2024-07-01,Freight,Midwest,2486.64
