order_id,order_date,region,channel,product,units,unit_price,unit_cost,payment_terms_days
ORD-0001,2023-01-02,Midwest,Online,Control Panel,157,463.82,259.02,60
ORD-0002,2023-01-17,West,Direct,Maintenance Kit,115,133.02,79.79,60
ORD-0003,2023-01-19,West,Online,Power Supply,46,525.44,374.17,45
ORD-0004,2023-01-23,South,Online,Maintenance Kit,84,135.39,73.48,30
ORD-0005,2023-01-08,Midwest,Direct,Industrial Sensor,59,268.17,148.24,15
ORD-0006,2023-02-25,West,Online,Maintenance Kit,108,124.25,83.64,15
ORD-0007,2023-02-19,South,Distributor,Power Supply,85,565.86,336.52,15
ORD-0008,2023-02-15,West,Direct,Maintenance Kit,151,124.39,68.45,30
ORD-0009,2023-02-09,West,Distributor,Power Supply,94,650.99,375.09,30
ORD-0010,2023-02-12,South,Online,Power Supply,155,609.94,358.56,30
ORD-0011,2023-02-17,South,Online,Control Panel,69,380.47,238.67,30
ORD-0012,2023-03-20,Midwest,Distributor,Industrial Sensor,61,243.69,171.27,15
ORD-0013,2023-03-21,South,Direct,Power Supply,143,605.9,400.97,60
ORD-0014,2023-03-21,West,Distributor,Control Panel,128,424.28,261.25,45
ORD-0015,2023-03-13,West,Direct,Maintenance Kit,75,123.16,67.06,60
ORD-0016,2023-03-03,Midwest,Online,Control Panel,164,478.2,253.76,45
ORD-0017,2023-03-25,Midwest,Direct,Power Supply,152,545.2,389.22,30
ORD-0018,2023-03-11,South,Direct,Industrial Sensor,169,228.02,150.83,60
ORD-0019,2023-04-26,South,Distributor,Industrial Sensor,27,287.92,166.04,30
ORD-0020,2023-04-07,Northeast,Online,Power Supply,130,615.92,391.91,30
ORD-0021,2023-04-23,Northeast,Direct,Control Panel,116,437.78,258.64,45
ORD-0022,2023-04-17,South,Online,Industrial Sensor,27,292.86,149.55,45
ORD-0023,2023-04-26,Northeast,Distributor,Industrial Sensor,178,287.38,139.6,45
ORD-0024,2023-05-08,West,Online,Power Supply,111,564.08,328.02,45
