month,revenue_booked,cash_received,operating_expenses,operating_cash_flow,sales_booked_minus_cash_received,cumulative_operating_cash_flow
2023-01-01,139482.07,0.0,135673.99,-135673.99,139482.07,-135673.99
2023-02-01,262286.18,6255.02,137814.68,-131559.66,256031.16,-267233.65
2023-03-01,364884.21,202703.08,140717.9,61985.17999999999,162181.13000000003,-205248.47000000003
2023-04-01,197686.78,87588.5,143912.27,-56323.76999999999,110098.28,-261572.24000000002
2023-05-01,213468.17,215802.84,145897.5,69905.34,-2334.6699999999837,-191666.90000000002
2023-06-01,187353.15,286415.26,143476.85,142938.41,-99062.11000000002,-48728.49000000002
2023-07-01,147450.74,236599.33,137279.65,99319.68,-89148.59,50591.18999999997
2023-08-01,235675.35,102015.26,139316.36,-37301.09999999999,133660.09000000003,13290.089999999982
2023-09-01,229103.82,48711.67,140594.02,-91882.34999999999,180392.15000000002,-78592.26000000001
2023-10-01,190269.84,219453.93,144272.81,75181.12,-29184.089999999997,-3411.140000000014
2023-11-01,108463.15,290129.28,142769.42,147359.86000000002,-181666.13000000003,143948.72
2023-12-01,342696.42,58892.13,145106.23,-86214.1,283804.29,57734.619999999995
2024-01-01,83310.39,56611.32,138983.47,-82372.15,26699.07,-24637.53
2024-02-01,177102.78,273358.12,141130.65,132227.47,-96255.34,107589.94
2024-03-01,219849.91,192929.64,142052.5,50877.140000000014,26920.26999999999,158467.08000000002
2024-04-01,156294.16,85827.09,140146.12,-54319.03,70467.07,104148.05000000002
2024-05-01,293633.09,99644.19,143511.44,-43867.25,193988.90000000002,60280.80000000002
2024-06-01,198418.36,150305.63,145369.44,4936.190000000002,48112.72999999998,65216.99000000002
2024-07-01,147699.71,226231.27,140212.65,86018.62,-78531.56,151235.61000000002
2024-08-01,216043.03,264539.75,140920.47,123619.28,-48496.72,274854.89
2024-09-01,266275.74,218899.91,140197.59,78702.32,47375.82999999999,353557.21
2024-10-01,272446.81,128254.51,142467.17,-14212.660000000018,144192.3,339344.55
2024-11-01,266026.55,215401.82,144783.85,70617.97,50624.72999999998,409962.52
2024-12-01,152451.0,154524.99,147269.71,7255.279999999999,-2073.9899999999907,417217.80000000005
2025-01-01,119206.67,279871.41,140545.87,139325.53999999998,-160664.74,556543.3400000001
2025-02-01,196252.35,181520.03,136812.77,44707.26000000001,14732.320000000007,601250.6000000001
2025-03-01,238530.58,53462.96,139963.68,-86500.72,185067.62,514749.8800000001
2025-04-01,176288.54,241440.99,143217.99,98223.0,-65152.44999999998,612972.8800000001
2025-05-01,158247.51,252530.33,144363.94,108166.38999999998,-94282.81999999998,721139.2700000001
2025-06-01,281673.72,26632.93,147673.34,-121040.41,255040.78999999998,600098.8600000001
2025-07-01,194035.0,205147.77,135808.86,69338.91,-11112.76999999999,669437.7700000001
2025-08-01,160105.47,214951.4,138723.39,76228.00999999998,-54845.92999999999,745665.78
2025-09-01,263991.58,68453.19,140731.82,-72278.63,195538.39,673387.15
2025-10-01,206434.67,213678.68,143306.65,70372.03,-7244.00999999998,743759.18
2025-11-01,221441.7,164936.68,146000.12,18936.559999999998,56505.02000000002,762695.74
2025-12-01,246473.52,308707.9,143716.74,164991.16000000003,-62234.380000000034,927686.9
