month,revenue,cogs,gross_profit,gross_margin_pct,cash_received,operating_expenses,operating_cash_flow,sales_not_collected,cumulative_operating_cash_flow
2023-01-01,139482.07,81972.29,57509.78,41.23,0.0,135673.99,-135673.99,31119.33,-135673.99
2023-02-01,262286.18,155276.76,107009.42,40.8,6255.02,137814.68,-131559.66,51872.13,-267233.65
2023-03-01,364884.21,232524.03,132360.18,36.27,202703.08,140717.9,61985.17999999999,93289.89,-205248.47000000003
2023-04-01,197686.78,114320.27,83366.51,42.17,87588.5,143912.27,-56323.76999999999,131223.24,-261572.24000000002
2023-05-01,213468.17,136263.82,77204.35,36.17,215802.84,145897.5,69905.34,-0.0,-191666.90000000002
2023-06-01,187353.15,117375.98,69977.17,37.35,286415.26,143476.85,142938.41,0.0,-48728.49000000002
2023-07-01,147450.74,91010.03,56440.71,38.28,236599.33,137279.65,99319.68,46297.36,50591.18999999997
2023-08-01,235675.35,138975.69,96699.66,41.03,102015.26,139316.36,-37301.09999999999,57970.35,13290.089999999982
2023-09-01,229103.82,134480.05,94623.77,41.3,48711.67,140594.02,-91882.34999999999,69451.2,-78592.26000000001
2023-10-01,190269.84,122444.83,67825.01,35.65,219453.93,144272.81,75181.12,0.0,-3411.140000000014
2023-11-01,108463.15,66367.61,42095.54,38.81,290129.28,142769.42,147359.86000000002,17780.24,143948.72
2023-12-01,342696.42,221026.37,121670.05,35.5,58892.13,145106.23,-86214.1,87539.8,57734.619999999995
2024-01-01,83310.39,45556.26,37754.13,45.32,56611.32,138983.47,-82372.15,6174.74,-24637.53
2024-02-01,177102.78,103287.46,73815.32,41.68,273358.12,141130.65,132227.47,-0.0,107589.94
2024-03-01,219849.91,134980.29,84869.62,38.6,192929.64,142052.5,50877.140000000014,87425.2,158467.08000000002
2024-04-01,156294.16,90013.76,66280.4,42.41,85827.09,140146.12,-54319.03,-0.0,104148.05000000002
2024-05-01,293633.09,167733.73,125899.36,42.88,99644.19,143511.44,-43867.25,0.0,60280.80000000002
2024-06-01,198418.36,120870.03,77548.33,39.08,150305.63,145369.44,4936.190000000002,11564.28,65216.99000000002
2024-07-01,147699.71,90083.02,57616.69,39.01,226231.27,140212.65,86018.62,0.0,151235.61000000002
2024-08-01,216043.03,140365.92,75677.11,35.03,264539.75,140920.47,123619.28,0.0,274854.89
2024-09-01,266275.74,145801.45,120474.29,45.24,218899.91,140197.59,78702.32,101476.43,353557.21
2024-10-01,272446.81,144608.87,127837.94,46.92,128254.51,142467.17,-14212.660000000018,17628.07,339344.55
2024-11-01,266026.55,144251.3,121775.25,45.78,215401.82,144783.85,70617.97,0.0,409962.52
2024-12-01,152451.0,97939.43,54511.57,35.76,154524.99,147269.71,7255.279999999999,40519.32,417217.80000000005
2025-01-01,119206.67,75952.94,43253.73,36.28,279871.41,140545.87,139325.53999999998,0.0,556543.3400000001
2025-02-01,196252.35,114366.67,81885.68,41.72,181520.03,136812.77,44707.26000000001,-0.0,601250.6000000001
2025-03-01,238530.58,153233.0,85297.58,35.76,53462.96,139963.68,-86500.72,94053.98,514749.8800000001
2025-04-01,176288.54,96612.53,79676.01,45.2,241440.99,143217.99,98223.0,0.0,612972.8800000001
2025-05-01,158247.51,105330.45,52917.06,33.44,252530.33,144363.94,108166.38999999998,6530.25,721139.2700000001
2025-06-01,281673.72,172783.11,108890.61,38.66,26632.93,147673.34,-121040.41,93936.86,600098.8600000001
2025-07-01,194035.0,104869.76,89165.24,45.95,205147.77,135808.86,69338.91,24394.77,669437.7700000001
2025-08-01,160105.47,99897.61,60207.86,37.61,214951.4,138723.39,76228.00999999998,45613.34,745665.78
2025-09-01,263991.58,161469.46,102522.12,38.84,68453.19,140731.82,-72278.63,75521.48,673387.15
2025-10-01,206434.67,120750.81,85683.86,41.51,213678.68,143306.65,70372.03,-0.0,743759.18
2025-11-01,221441.7,143602.19,77839.51,35.15,164936.68,146000.12,18936.559999999998,26545.22,762695.74
2025-12-01,246473.52,149345.58,97127.94,39.41,308707.9,143716.74,164991.16000000003,-0.0,927686.9
