order_id,order_date,original_order_value,total_collected,remaining_balance,as_of_date,days_outstanding,aging_bucket
ORD-0005,2023-01-08,15822.03,0.0,15822.03,2024-12-31,723,61+ Days Past Due
ORD-0002,2023-01-17,15297.3,0.0,15297.3,2024-12-31,714,61+ Days Past Due
ORD-0010,2023-02-12,94540.7,61451.46,33089.24,2024-12-31,688,61+ Days Past Due
ORD-0008,2023-02-15,18782.89,0.0,18782.89,2024-12-31,685,61+ Days Past Due
ORD-0016,2023-03-03,78424.8,0.0,78424.8,2024-12-31,669,61+ Days Past Due
ORD-0012,2023-03-20,14865.09,0.0,14865.09,2024-12-31,652,61+ Days Past Due
ORD-0020,2023-04-07,80069.6,0.0,80069.6,2024-12-31,634,61+ Days Past Due
ORD-0023,2023-04-26,51153.64,0.0,51153.64,2024-12-31,615,61+ Days Past Due
ORD-0039,2023-07-25,46297.36,0.0,46297.36,2024-12-31,525,61+ Days Past Due
ORD-0046,2023-08-13,61979.92,40286.95,21692.97,2024-12-31,506,61+ Days Past Due
ORD-0047,2023-08-24,26837.2,0.0,26837.2,2024-12-31,495,61+ Days Past Due
ORD-0045,2023-08-25,9440.18,0.0,9440.18,2024-12-31,494,61+ Days Past Due
ORD-0054,2023-09-04,69451.2,0.0,69451.2,2024-12-31,484,61+ Days Past Due
ORD-0062,2023-11-09,17780.24,0.0,17780.24,2024-12-31,418,61+ Days Past Due
ORD-0072,2023-12-04,87539.8,0.0,87539.8,2024-12-31,393,61+ Days Past Due
ORD-0077,2024-01-07,6174.74,0.0,6174.74,2024-12-31,359,61+ Days Past Due
ORD-0087,2024-03-16,17074.8,0.0,17074.8,2024-12-31,290,61+ Days Past Due
ORD-0090,2024-03-24,70350.4,0.0,70350.4,2024-12-31,282,61+ Days Past Due
ORD-0108,2024-06-11,11564.28,0.0,11564.28,2024-12-31,203,61+ Days Past Due
ORD-0120,2024-09-09,22872.15,0.0,22872.15,2024-12-31,113,61+ Days Past Due
ORD-0125,2024-09-17,78604.28,0.0,78604.28,2024-12-31,105,61+ Days Past Due
ORD-0127,2024-10-15,50365.92,32737.85,17628.07,2024-12-31,77,61+ Days Past Due
ORD-0143,2024-12-03,17222.47,0.0,17222.47,2024-12-31,28,1-30 Days Past Due
ORD-0142,2024-12-24,23296.85,0.0,23296.85,2024-12-31,7,1-30 Days Past Due
ORD-0158,2025-03-11,73510.58,0.0,73510.58,2024-12-31,-70,61+ Days Past Due
ORD-0156,2025-03-14,20543.4,0.0,20543.4,2024-12-31,-73,61+ Days Past Due
ORD-0173,2025-05-13,2551.0,0.0,2551.0,2024-12-31,-133,61+ Days Past Due
ORD-0172,2025-05-23,11369.28,7390.03,3979.25,2024-12-31,-143,61+ Days Past Due
ORD-0174,2025-06-04,11477.34,0.0,11477.34,2024-12-31,-155,61+ Days Past Due
ORD-0180,2025-06-07,82459.52,0.0,82459.52,2024-12-31,-158,61+ Days Past Due
ORD-0184,2025-07-03,18680.6,0.0,18680.6,2024-12-31,-184,61+ Days Past Due
ORD-0182,2025-07-04,5714.17,0.0,5714.17,2024-12-31,-185,61+ Days Past Due
ORD-0188,2025-08-19,20501.0,0.0,20501.0,2024-12-31,-231,61+ Days Past Due
ORD-0189,2025-08-19,25112.34,0.0,25112.34,2024-12-31,-231,61+ Days Past Due
ORD-0194,2025-09-04,13805.12,0.0,13805.12,2024-12-31,-247,61+ Days Past Due
ORD-0195,2025-09-24,61716.36,0.0,61716.36,2024-12-31,-267,61+ Days Past Due
ORD-0205,2025-11-02,6792.82,0.0,6792.82,2024-12-31,-306,61+ Days Past Due
ORD-0209,2025-11-21,19752.4,0.0,19752.4,2024-12-31,-325,61+ Days Past Due
