count_id,count_date,sku,location_id,system_quantity,counted_quantity
CNT000001,2024-01-01,SKU001,DC01,43,45
CNT000002,2024-01-01,SKU001,DC02,85,83
CNT000003,2024-01-01,SKU001,DC03,80,80
CNT000004,2024-01-01,SKU001,DC04,100,99
CNT000005,2024-01-01,SKU002,DC01,86,86
CNT000006,2024-01-01,SKU002,DC02,75,73
CNT000007,2024-01-01,SKU002,DC03,73,73
CNT000008,2024-01-01,SKU002,DC04,27,27
CNT000009,2024-01-01,SKU003,DC01,33,34
CNT000010,2024-01-01,SKU003,DC02,26,25
CNT000011,2024-01-01,SKU003,DC03,94,92
CNT000012,2024-01-01,SKU003,DC04,98,98
CNT000013,2024-01-01,SKU004,DC01,73,73
CNT000014,2024-01-01,SKU004,DC02,71,73
CNT000015,2024-01-01,SKU004,DC03,34,35
CNT000016,2024-01-01,SKU004,DC04,94,93
CNT000017,2024-01-01,SKU005,DC01,107,105
CNT000018,2024-01-01,SKU005,DC02,72,73
CNT000019,2024-01-01,SKU005,DC03,81,81
CNT000020,2024-01-01,SKU005,DC04,94,94
CNT000021,2024-01-01,SKU006,DC01,105,105
CNT000022,2024-01-01,SKU006,DC02,59,58
CNT000023,2024-01-01,SKU006,DC03,107,107
CNT000024,2024-01-01,SKU006,DC04,96,97
CNT000025,2024-01-01,SKU007,DC01,73,72
CNT000026,2024-01-01,SKU007,DC02,46,47
CNT000027,2024-01-01,SKU007,DC03,60,60
CNT000028,2024-01-01,SKU007,DC04,102,100
CNT000029,2024-01-01,SKU008,DC01,75,74
CNT000030,2024-01-01,SKU008,DC02,27,27
CNT000031,2024-01-01,SKU008,DC03,92,91
CNT000032,2024-01-01,SKU008,DC04,40,42
CNT000033,2024-01-01,SKU009,DC01,53,53
CNT000034,2024-01-01,SKU009,DC02,50,49
CNT000035,2024-01-01,SKU009,DC03,33,33
CNT000036,2024-01-01,SKU009,DC04,38,38
CNT000037,2024-01-01,SKU010,DC01,30,28
CNT000038,2024-01-01,SKU010,DC02,30,30
CNT000039,2024-01-01,SKU010,DC03,35,35
CNT000040,2024-01-01,SKU010,DC04,26,26
CNT000041,2024-01-01,SKU011,DC01,60,59
CNT000042,2024-01-01,SKU011,DC02,40,42
CNT000043,2024-01-01,SKU011,DC03,36,36
CNT000044,2024-01-01,SKU011,DC04,106,106
CNT000045,2024-01-01,SKU012,DC01,93,94
CNT000046,2024-01-01,SKU012,DC02,61,62
CNT000047,2024-01-01,SKU012,DC03,65,65
CNT000048,2024-01-01,SKU012,DC04,90,90
CNT000049,2024-01-01,SKU013,DC01,36,35
CNT000050,2024-01-01,SKU013,DC02,56,56
CNT000051,2024-01-01,SKU013,DC03,90,89
CNT000052,2024-01-01,SKU013,DC04,96,96
CNT000053,2024-01-01,SKU014,DC01,33,35
CNT000054,2024-01-01,SKU014,DC02,58,57
CNT000055,2024-01-01,SKU014,DC03,74,72
CNT000056,2024-01-01,SKU014,DC04,102,102
CNT000057,2024-01-01,SKU015,DC01,91,89
CNT000058,2024-01-01,SKU015,DC02,91,92
CNT000059,2024-01-01,SKU015,DC03,77,77
CNT000060,2024-01-01,SKU015,DC04,40,40
CNT000061,2024-01-01,SKU016,DC01,87,88
CNT000062,2024-01-01,SKU016,DC02,56,56
CNT000063,2024-01-01,SKU016,DC03,33,31
CNT000064,2024-01-01,SKU016,DC04,57,57
CNT000065,2024-01-01,SKU017,DC01,63,62
CNT000066,2024-01-01,SKU017,DC02,51,53
CNT000067,2024-01-01,SKU017,DC03,33,33
CNT000068,2024-01-01,SKU017,DC04,48,46
CNT000069,2024-01-01,SKU018,DC01,46,47
CNT000070,2024-01-01,SKU018,DC02,92,92
CNT000071,2024-01-01,SKU018,DC03,27,26
CNT000072,2024-01-01,SKU018,DC04,74,75
CNT000073,2024-01-01,SKU019,DC01,81,80
CNT000074,2024-01-01,SKU019,DC02,35,35
CNT000075,2024-01-01,SKU019,DC03,29,31
CNT000076,2024-01-01,SKU019,DC04,44,44
CNT000077,2024-01-01,SKU020,DC01,68,66
CNT000078,2024-01-01,SKU020,DC02,31,31
CNT000079,2024-01-01,SKU020,DC03,94,94
