snapshot_date,sku,location_id,opening_quantity,closing_quantity
2024-01-01,SKU001,DC01,45,43
2024-01-01,SKU001,DC02,86,85
2024-01-01,SKU001,DC03,81,80
2024-01-01,SKU001,DC04,101,100
2024-01-01,SKU002,DC01,87,86
2024-01-01,SKU002,DC02,75,75
2024-01-01,SKU002,DC03,73,73
2024-01-01,SKU002,DC04,28,27
2024-01-01,SKU003,DC01,35,33
2024-01-01,SKU003,DC02,27,26
2024-01-01,SKU003,DC03,96,94
2024-01-01,SKU003,DC04,99,98
2024-01-01,SKU004,DC01,74,73
2024-01-01,SKU004,DC02,73,71
2024-01-01,SKU004,DC03,36,34
2024-01-01,SKU004,DC04,96,94
2024-01-01,SKU005,DC01,110,107
2024-01-01,SKU005,DC02,75,72
2024-01-01,SKU005,DC03,84,81
2024-01-01,SKU005,DC04,97,94
2024-01-01,SKU006,DC01,107,105
2024-01-01,SKU006,DC02,62,59
2024-01-01,SKU006,DC03,109,107
2024-01-01,SKU006,DC04,98,96
2024-01-01,SKU007,DC01,77,73
2024-01-01,SKU007,DC02,49,46
2024-01-01,SKU007,DC03,64,60
2024-01-01,SKU007,DC04,106,102
2024-01-01,SKU008,DC01,78,75
2024-01-01,SKU008,DC02,30,27
2024-01-01,SKU008,DC03,94,92
2024-01-01,SKU008,DC04,43,40
2024-01-01,SKU009,DC01,54,53
2024-01-01,SKU009,DC02,51,50
2024-01-01,SKU009,DC03,33,33
2024-01-01,SKU009,DC04,39,38
2024-01-01,SKU010,DC01,31,30
2024-01-01,SKU010,DC02,31,30
2024-01-01,SKU010,DC03,36,35
2024-01-01,SKU010,DC04,27,26
2024-01-01,SKU011,DC01,61,60
2024-01-01,SKU011,DC02,40,40
2024-01-01,SKU011,DC03,39,36
2024-01-01,SKU011,DC04,107,106
2024-01-01,SKU012,DC01,94,93
2024-01-01,SKU012,DC02,63,61
2024-01-01,SKU012,DC03,65,65
2024-01-01,SKU012,DC04,91,90
2024-01-01,SKU013,DC01,38,36
2024-01-01,SKU013,DC02,57,56
2024-01-01,SKU013,DC03,92,90
2024-01-01,SKU013,DC04,98,96
2024-01-01,SKU014,DC01,36,33
2024-01-01,SKU014,DC02,61,58
2024-01-01,SKU014,DC03,76,74
2024-01-01,SKU014,DC04,104,102
2024-01-01,SKU015,DC01,94,91
2024-01-01,SKU015,DC02,94,91
2024-01-01,SKU015,DC03,80,77
2024-01-01,SKU015,DC04,43,40
2024-01-01,SKU016,DC01,90,87
2024-01-01,SKU016,DC02,59,56
2024-01-01,SKU016,DC03,36,33
2024-01-01,SKU016,DC04,61,57
2024-01-01,SKU017,DC01,67,63
2024-01-01,SKU017,DC02,55,51
2024-01-01,SKU017,DC03,39,33
2024-01-01,SKU017,DC04,53,48
2024-01-01,SKU018,DC01,47,46
2024-01-01,SKU018,DC02,92,92
2024-01-01,SKU018,DC03,28,27
2024-01-01,SKU018,DC04,75,74
2024-01-01,SKU019,DC01,82,81
2024-01-01,SKU019,DC02,37,35
2024-01-01,SKU019,DC03,31,29
2024-01-01,SKU019,DC04,46,44
2024-01-01,SKU020,DC01,70,68
2024-01-01,SKU020,DC02,33,31
2024-01-01,SKU020,DC03,97,94
2024-01-01,SKU020,DC04,41,40
2024-01-01,SKU021,DC01,92,90
2024-01-01,SKU021,DC02,103,101
2024-01-01,SKU021,DC03,76,74
2024-01-01,SKU021,DC04,86,85
2024-01-01,SKU022,DC01,109,105
2024-01-01,SKU022,DC02,51,48
2024-01-01,SKU022,DC03,26,22
2024-01-01,SKU022,DC04,39,36
2024-01-01,SKU023,DC01,94,91
2024-01-01,SKU023,DC02,28,49
2024-01-01,SKU023,DC03,101,99
2024-01-01,SKU023,DC04,55,52
2024-01-01,SKU024,DC01,110,107
2024-01-01,SKU024,DC02,80,78
2024-01-01,SKU024,DC03,85,82
2024-01-01,SKU024,DC04,75,73
2024-01-02,SKU001,DC01,43,42
2024-01-02,SKU001,DC02,85,84
2024-01-02,SKU001,DC03,80,79
2024-01-02,SKU001,DC04,100,99
2024-01-02,SKU002,DC01,86,85
2024-01-02,SKU002,DC02,75,73
2024-01-02,SKU002,DC03,73,71
2024-01-02,SKU002,DC04,27,26
2024-01-02,SKU003,DC01,33,67
2024-01-02,SKU003,DC02,26,24
2024-01-02,SKU003,DC03,94,91
2024-01-02,SKU003,DC04,98,96
2024-01-02,SKU004,DC01,73,70
2024-01-02,SKU004,DC02,71,70
2024-01-02,SKU004,DC03,34,32
2024-01-02,SKU004,DC04,94,93
2024-01-02,SKU005,DC01,107,102
2024-01-02,SKU005,DC02,72,68
2024-01-02,SKU005,DC03,81,78
2024-01-02,SKU005,DC04,94,90
2024-01-02,SKU006,DC01,105,103
2024-01-02,SKU006,DC02,59,56
2024-01-02,SKU006,DC03,107,104
2024-01-02,SKU006,DC04,96,94
2024-01-02,SKU007,DC01,73,71
2024-01-02,SKU007,DC02,46,44
2024-01-02,SKU007,DC03,60,58
2024-01-02,SKU007,DC04,102,99
2024-01-02,SKU008,DC01,75,73
2024-01-02,SKU008,DC02,27,24
2024-01-02,SKU008,DC03,92,91
2024-01-02,SKU008,DC04,40,36
2024-01-02,SKU009,DC01,53,52
2024-01-02,SKU009,DC02,50,50
2024-01-02,SKU009,DC03,33,32
2024-01-02,SKU009,DC04,38,38
2024-01-02,SKU010,DC01,30,28
2024-01-02,SKU010,DC02,30,30
2024-01-02,SKU010,DC03,35,34
2024-01-02,SKU010,DC04,26,25
2024-01-02,SKU011,DC01,60,58
2024-01-02,SKU011,DC02,40,39
2024-01-02,SKU011,DC03,36,35
2024-01-02,SKU011,DC04,106,106
2024-01-02,SKU012,DC01,93,92
2024-01-02,SKU012,DC02,61,59
2024-01-02,SKU012,DC03,65,64
2024-01-02,SKU012,DC04,90,89
2024-01-02,SKU013,DC01,36,33
2024-01-02,SKU013,DC02,56,54
2024-01-02,SKU013,DC03,90,88
2024-01-02,SKU013,DC04,96,95
2024-01-02,SKU014,DC01,33,31
2024-01-02,SKU014,DC02,58,56
2024-01-02,SKU014,DC03,74,72
2024-01-02,SKU014,DC04,102,100
2024-01-02,SKU015,DC01,91,89
2024-01-02,SKU015,DC02,91,88
2024-01-02,SKU015,DC03,77,75
2024-01-02,SKU015,DC04,40,38
2024-01-02,SKU016,DC01,87,84
2024-01-02,SKU016,DC02,56,54
2024-01-02,SKU016,DC03,33,29
2024-01-02,SKU016,DC04,57,53
2024-01-02,SKU017,DC01,63,59
2024-01-02,SKU017,DC02,51,46
