sku,product_name,category,supplier,unit_cost,lead_time_days,reorder_point,safety_stock,annual_demand_estimate,active_flag
SKU0001,Industrial Supplies 0001,Industrial Supplies,Atlas Industrial,7.70,11,31,15,1283,Y
SKU0002,Electrical Components 0002,Electrical Components,Blue Ridge Supply,11.40,18,42,20,1366,Y
SKU0003,Safety Supplies 0003,Safety Supplies,Cedar Components,15.10,7,53,25,1449,Y
SKU0004,Packaging 0004,Packaging,Harbor Safety,18.80,14,64,30,1532,Y
SKU0005,Tools 0005,Tools,Summit Packaging,22.50,21,75,35,1615,Y
SKU0006,Consumables 0006,Consumables,Atlas Industrial,26.20,10,86,40,1698,Y
SKU0007,Fasteners 0007,Fasteners,Blue Ridge Supply,29.90,17,97,45,1781,Y
SKU0008,Maintenance Parts 0008,Maintenance Parts,Cedar Components,33.60,6,28,10,1864,Y
SKU0009,Shipping Supplies 0009,Shipping Supplies,Harbor Safety,37.30,13,39,15,1947,Y
SKU0010,Material Handling 0010,Material Handling,Summit Packaging,41.00,20,50,20,2030,Y
SKU0011,Industrial Supplies 0011,Industrial Supplies,Atlas Industrial,44.70,9,61,25,2113,Y
SKU0012,Electrical Components 0012,Electrical Components,Blue Ridge Supply,48.40,16,72,30,2196,Y
SKU0013,Safety Supplies 0013,Safety Supplies,Cedar Components,52.10,5,83,35,2279,Y
SKU0014,Packaging 0014,Packaging,Harbor Safety,55.80,12,94,40,2362,Y
SKU0015,Tools 0015,Tools,Summit Packaging,59.50,19,25,45,2445,Y
SKU0016,Consumables 0016,Consumables,Atlas Industrial,63.20,8,36,10,2528,Y
SKU0017,Fasteners 0017,Fasteners,Blue Ridge Supply,66.90,15,47,15,2611,Y
SKU0018,Maintenance Parts 0018,Maintenance Parts,Cedar Components,70.60,4,58,20,2694,Y
SKU0019,Shipping Supplies 0019,Shipping Supplies,Harbor Safety,74.30,11,69,25,2777,Y
SKU0020,Material Handling 0020,Material Handling,Summit Packaging,78.00,18,80,30,2860,Y
SKU0021,Industrial Supplies 0021,Industrial Supplies,Atlas Industrial,81.70,7,91,35,2943,Y
SKU0022,Electrical Components 0022,Electrical Components,Blue Ridge Supply,85.40,14,22,40,3026,Y
SKU0023,Safety Supplies 0023,Safety Supplies,Cedar Components,89.10,21,33,45,3109,Y
SKU0024,Packaging 0024,Packaging,Harbor Safety,92.80,10,44,10,3192,Y
SKU0025,Tools 0025,Tools,Summit Packaging,96.50,17,55,15,3275,Y
SKU0026,Consumables 0026,Consumables,Atlas Industrial,100.20,6,66,20,3358,Y
SKU0027,Fasteners 0027,Fasteners,Blue Ridge Supply,103.90,13,77,25,3441,Y
