count_id,count_date,sku,location_id,system_quantity,counted_quantity
CNT000001,2024-01-01,SKU001,DC01,99,99
CNT000002,2024-01-01,SKU001,DC02,74,74
CNT000003,2024-01-01,SKU001,DC03,73,73
CNT000004,2024-01-01,SKU001,DC04,36,37
CNT000005,2024-01-01,SKU002,DC01,95,94
CNT000006,2024-01-01,SKU002,DC02,110,111
CNT000007,2024-01-01,SKU002,DC03,75,76
CNT000008,2024-01-01,SKU002,DC04,83,81
CNT000009,2024-01-01,SKU003,DC01,94,92
CNT000010,2024-01-01,SKU003,DC02,104,104
CNT000011,2024-01-01,SKU003,DC03,61,59
CNT000012,2024-01-01,SKU003,DC04,106,106
CNT000013,2024-01-01,SKU004,DC01,96,98
CNT000014,2024-01-01,SKU004,DC02,74,73
CNT000015,2024-01-01,SKU004,DC03,48,47
CNT000016,2024-01-01,SKU004,DC04,61,62
CNT000017,2024-01-01,SKU005,DC01,104,104
CNT000018,2024-01-01,SKU005,DC02,76,76
CNT000019,2024-01-01,SKU005,DC03,26,24
CNT000020,2024-01-01,SKU005,DC04,92,91
CNT000021,2024-01-01,SKU006,DC01,41,41
CNT000022,2024-01-01,SKU006,DC02,50,48
CNT000023,2024-01-01,SKU006,DC03,48,47
CNT000024,2024-01-01,SKU006,DC04,31,31
CNT000025,2024-01-01,SKU007,DC01,39,37
CNT000026,2024-01-01,SKU007,DC02,31,33
CNT000027,2024-01-01,SKU007,DC03,30,31
CNT000028,2024-01-01,SKU007,DC04,36,35
CNT000029,2024-01-01,SKU008,DC01,26,26
CNT000030,2024-01-01,SKU008,DC02,60,62
CNT000031,2024-01-01,SKU008,DC03,39,39
CNT000032,2024-01-01,SKU008,DC04,37,39
CNT000033,2024-01-01,SKU009,DC01,106,105
CNT000034,2024-01-01,SKU009,DC02,94,94
CNT000035,2024-01-01,SKU009,DC03,62,61
CNT000036,2024-01-01,SKU009,DC04,63,62
CNT000037,2024-01-01,SKU010,DC01,90,90
CNT000038,2024-01-01,SKU010,DC02,35,35
CNT000039,2024-01-01,SKU010,DC03,54,54
CNT000040,2024-01-01,SKU010,DC04,91,91
CNT000041,2024-01-01,SKU011,DC01,95,94
CNT000042,2024-01-01,SKU011,DC02,35,35
CNT000043,2024-01-01,SKU011,DC03,58,56
CNT000044,2024-01-01,SKU011,DC04,72,72
CNT000045,2024-01-01,SKU012,DC01,103,103
CNT000046,2024-01-01,SKU012,DC02,93,95
CNT000047,2024-01-01,SKU012,DC03,94,93
CNT000048,2024-01-01,SKU012,DC04,80,79
CNT000049,2024-01-01,SKU013,DC01,41,41
CNT000050,2024-01-01,SKU013,DC02,90,92
CNT000051,2024-01-01,SKU013,DC03,56,57
CNT000052,2024-01-01,SKU013,DC04,32,32
CNT000053,2024-01-01,SKU014,DC01,59,60
CNT000054,2024-01-01,SKU014,DC02,66,66
CNT000055,2024-01-01,SKU014,DC03,54,52
CNT000056,2024-01-01,SKU014,DC04,36,37
CNT000057,2024-01-01,SKU015,DC01,53,53
CNT000058,2024-01-01,SKU015,DC02,47,49
CNT000059,2024-01-01,SKU015,DC03,91,89
CNT000060,2024-01-01,SKU015,DC04,28,27
CNT000061,2024-01-01,SKU016,DC01,72,73
CNT000062,2024-01-01,SKU016,DC02,79,79
CNT000063,2024-01-01,SKU016,DC03,35,37
CNT000064,2024-01-01,SKU016,DC04,30,30
CNT000065,2024-01-01,SKU017,DC01,42,40
CNT000066,2024-01-01,SKU017,DC02,66,67
CNT000067,2024-01-01,SKU017,DC03,32,30
CNT000068,2024-01-01,SKU017,DC04,96,96
CNT000069,2024-01-01,SKU018,DC01,38,36
CNT000070,2024-01-01,SKU018,DC02,90,90
CNT000071,2024-01-01,SKU018,DC03,101,101
CNT000072,2024-01-01,SKU018,DC04,74,72
CNT000073,2024-01-01,SKU019,DC01,85,84
CNT000074,2024-01-01,SKU019,DC02,106,107
CNT000075,2024-01-01,SKU019,DC03,48,48
CNT000076,2024-01-01,SKU019,DC04,24,24
CNT000077,2024-01-01,SKU020,DC01,37,35
CNT000078,2024-01-01,SKU020,DC02,92,92
CNT000079,2024-01-01,SKU020,DC03,26,26
CNT000080,2024-01-01,SKU020,DC04,99,99
CNT000081,2024-01-01,SKU021,DC01,54,54
CNT000082,2024-01-01,SKU021,DC02,109,107
CNT000083,2024-01-01,SKU021,DC03,79,78
CNT000084,2024-01-01,SKU021,DC04,85,85
CNT000085,2024-01-01,SKU022,DC01,73,73
CNT000086,2024-01-01,SKU022,DC02,35,33
CNT000087,2024-01-01,SKU022,DC03,66,64
CNT000088,2024-01-01,SKU022,DC04,66,68
CNT000089,2024-01-01,SKU023,DC01,95,97
CNT000090,2024-01-01,SKU023,DC02,107,107
CNT000091,2024-01-01,SKU023,DC03,96,98
CNT000092,2024-01-01,SKU023,DC04,56,57
CNT000093,2024-01-01,SKU024,DC01,103,104
CNT000094,2024-01-01,SKU024,DC02,39,39
CNT000095,2024-01-01,SKU024,DC03,52,53
CNT000096,2024-01-01,SKU024,DC04,72,73
CNT000097,2024-02-01,SKU001,DC01,88,87
CNT000098,2024-02-01,SKU001,DC02,109,109
CNT000099,2024-02-01,SKU001,DC03,126,126
CNT000100,2024-02-01,SKU001,DC04,82,82
CNT000101,2024-02-01,SKU002,DC01,141,141
CNT000102,2024-02-01,SKU002,DC02,89,89
CNT000103,2024-02-01,SKU002,DC03,102,100
CNT000104,2024-02-01,SKU002,DC04,64,62
CNT000105,2024-02-01,SKU003,DC01,35,34
CNT000106,2024-02-01,SKU003,DC02,149,149
CNT000107,2024-02-01,SKU003,DC03,0,0
CNT000108,2024-02-01,SKU003,DC04,52,51
CNT000109,2024-02-01,SKU004,DC01,205,205
CNT000110,2024-02-01,SKU004,DC02,5,5
CNT000111,2024-02-01,SKU004,DC03,0,0
CNT000112,2024-02-01,SKU004,DC04,0,0
CNT000113,2024-02-01,SKU005,DC01,8,8
CNT000114,2024-02-01,SKU005,DC02,0,0
CNT000115,2024-02-01,SKU005,DC03,0,0
CNT000116,2024-02-01,SKU005,DC04,56,56
CNT000117,2024-02-01,SKU006,DC01,0,2
CNT000118,2024-02-01,SKU006,DC02,0,1
CNT000119,2024-02-01,SKU006,DC03,0,0
CNT000120,2024-02-01,SKU006,DC04,0,0
CNT000121,2024-02-01,SKU007,DC01,38,37
CNT000122,2024-02-01,SKU007,DC02,53,53
CNT000123,2024-02-01,SKU007,DC03,99,97
CNT000124,2024-02-01,SKU007,DC04,158,158
CNT000125,2024-02-01,SKU008,DC01,160,161
CNT000126,2024-02-01,SKU008,DC02,117,117
CNT000127,2024-02-01,SKU008,DC03,4,4
CNT000128,2024-02-01,SKU008,DC04,27,27
CNT000129,2024-02-01,SKU009,DC01,116,115
CNT000130,2024-02-01,SKU009,DC02,192,192
CNT000131,2024-02-01,SKU009,DC03,85,86
CNT000132,2024-02-01,SKU009,DC04,56,57
CNT000133,2024-02-01,SKU010,DC01,152,150
CNT000134,2024-02-01,SKU010,DC02,145,144
CNT000135,2024-02-01,SKU010,DC03,71,71
CNT000136,2024-02-01,SKU010,DC04,96,96
CNT000137,2024-02-01,SKU011,DC01,95,95
CNT000138,2024-02-01,SKU011,DC02,72,72
CNT000139,2024-02-01,SKU011,DC03,102,102
CNT000140,2024-02-01,SKU011,DC04,45,43
CNT000141,2024-02-01,SKU012,DC01,126,128
CNT000142,2024-02-01,SKU012,DC02,121,120
CNT000143,2024-02-01,SKU012,DC03,148,148
CNT000144,2024-02-01,SKU012,DC04,63,65
CNT000145,2024-02-01,SKU013,DC01,0,0
CNT000146,2024-02-01,SKU013,DC02,57,55
CNT000147,2024-02-01,SKU013,DC03,0,0
CNT000148,2024-02-01,SKU013,DC04,18,16
CNT000149,2024-02-01,SKU014,DC01,20,19
CNT000150,2024-02-01,SKU014,DC02,67,67
CNT000151,2024-02-01,SKU014,DC03,67,67
CNT000152,2024-02-01,SKU014,DC04,0,2
CNT000153,2024-02-01,SKU015,DC01,46,46
CNT000154,2024-02-01,SKU015,DC02,33,33
CNT000155,2024-02-01,SKU015,DC03,122,121
CNT000156,2024-02-01,SKU015,DC04,19,17
CNT000157,2024-02-01,SKU016,DC01,0,2
CNT000158,2024-02-01,SKU016,DC02,98,100
CNT000159,2024-02-01,SKU016,DC03,16,16
CNT000160,2024-02-01,SKU016,DC04,59,60
CNT000161,2024-02-01,SKU017,DC01,76,76
CNT000162,2024-02-01,SKU017,DC02,0,0
CNT000163,2024-02-01,SKU017,DC03,0,0
CNT000164,2024-02-01,SKU017,DC04,35,33
CNT000165,2024-02-01,SKU018,DC01,0,0
CNT000166,2024-02-01,SKU018,DC02,91,91
CNT000167,2024-02-01,SKU018,DC03,153,154
CNT000168,2024-02-01,SKU018,DC04,63,62
CNT000169,2024-02-01,SKU019,DC01,16,16
CNT000170,2024-02-01,SKU019,DC02,34,33
CNT000171,2024-02-01,SKU019,DC03,9,9
CNT000172,2024-02-01,SKU019,DC04,0,2
CNT000173,2024-02-01,SKU020,DC01,68,69
CNT000174,2024-02-01,SKU020,DC02,82,82
CNT000175,2024-02-01,SKU020,DC03,0,0
CNT000176,2024-02-01,SKU020,DC04,77,77
CNT000177,2024-02-01,SKU021,DC01,131,132
CNT000178,2024-02-01,SKU021,DC02,188,188
CNT000179,2024-02-01,SKU021,DC03,99,101
CNT000180,2024-02-01,SKU021,DC04,49,50
CNT000181,2024-02-01,SKU022,DC01,114,116
CNT000182,2024-02-01,SKU022,DC02,48,50
CNT000183,2024-02-01,SKU022,DC03,0,2
CNT000184,2024-02-01,SKU022,DC04,0,0
CNT000185,2024-02-01,SKU023,DC01,91,90
CNT000186,2024-02-01,SKU023,DC02,153,153
CNT000187,2024-02-01,SKU023,DC03,67,65
CNT000188,2024-02-01,SKU023,DC04,4,5
CNT000189,2024-02-01,SKU024,DC01,57,57
CNT000190,2024-02-01,SKU024,DC02,69,69
CNT000191,2024-02-01,SKU024,DC03,12,13
CNT000192,2024-02-01,SKU024,DC04,72,70
CNT000193,2024-03-01,SKU001,DC01,152,152
CNT000194,2024-03-01,SKU001,DC02,99,101
CNT000195,2024-03-01,SKU001,DC03,186,188
CNT000196,2024-03-01,SKU001,DC04,148,148
CNT000197,2024-03-01,SKU002,DC01,119,119
