snapshot_date,sku,location_id,opening_quantity,units_sold,units_received,closing_quantity
2024-01-01,SKU001,DC01,99,0,0,99
2024-01-01,SKU001,DC02,74,0,0,74
2024-01-01,SKU001,DC03,73,0,0,73
2024-01-01,SKU001,DC04,36,0,0,36
2024-01-01,SKU002,DC01,96,1,0,95
2024-01-01,SKU002,DC02,110,0,0,110
2024-01-01,SKU002,DC03,75,0,0,75
2024-01-01,SKU002,DC04,84,1,0,83
2024-01-01,SKU003,DC01,97,3,0,94
2024-01-01,SKU003,DC02,107,3,0,104
2024-01-01,SKU003,DC03,62,1,0,61
2024-01-01,SKU003,DC04,109,3,0,106
2024-01-01,SKU004,DC01,98,2,0,96
2024-01-01,SKU004,DC02,77,3,0,74
2024-01-01,SKU004,DC03,49,1,0,48
2024-01-01,SKU004,DC04,64,3,0,61
2024-01-01,SKU005,DC01,106,2,0,104
2024-01-01,SKU005,DC02,78,2,0,76
2024-01-01,SKU005,DC03,30,4,0,26
2024-01-01,SKU005,DC04,94,2,0,92
2024-01-01,SKU006,DC01,43,2,0,41
2024-01-01,SKU006,DC02,54,4,0,50
2024-01-01,SKU006,DC03,51,3,0,48
2024-01-01,SKU006,DC04,33,2,0,31
2024-01-01,SKU007,DC01,39,0,0,39
2024-01-01,SKU007,DC02,31,0,0,31
2024-01-01,SKU007,DC03,31,1,0,30
2024-01-01,SKU007,DC04,36,0,0,36
2024-01-01,SKU008,DC01,27,1,0,26
2024-01-01,SKU008,DC02,61,1,0,60
2024-01-01,SKU008,DC03,40,1,0,39
2024-01-01,SKU008,DC04,39,2,0,37
2024-01-01,SKU009,DC01,107,1,0,106
2024-01-01,SKU009,DC02,94,0,0,94
2024-01-01,SKU009,DC03,63,1,0,62
2024-01-01,SKU009,DC04,65,2,0,63
2024-01-01,SKU010,DC01,91,1,0,90
2024-01-01,SKU010,DC02,38,3,0,35
2024-01-01,SKU010,DC03,57,3,0,54
2024-01-01,SKU010,DC04,92,1,0,91
2024-01-01,SKU011,DC01,98,3,0,95
2024-01-01,SKU011,DC02,36,1,0,35
2024-01-01,SKU011,DC03,61,3,0,58
2024-01-01,SKU011,DC04,76,4,0,72
2024-01-01,SKU012,DC01,104,1,0,103
2024-01-01,SKU012,DC02,94,1,0,93
2024-01-01,SKU012,DC03,94,0,0,94
2024-01-01,SKU012,DC04,80,0,0,80
2024-01-01,SKU013,DC01,43,2,0,41
2024-01-01,SKU013,DC02,90,0,0,90
2024-01-01,SKU013,DC03,59,3,0,56
2024-01-01,SKU013,DC04,36,4,0,32
2024-01-01,SKU014,DC01,61,2,0,59
2024-01-01,SKU014,DC02,67,1,0,66
2024-01-01,SKU014,DC03,55,1,0,54
2024-01-01,SKU014,DC04,39,3,0,36
2024-01-01,SKU015,DC01,53,0,0,53
2024-01-01,SKU015,DC02,47,0,0,47
2024-01-01,SKU015,DC03,92,1,0,91
2024-01-01,SKU015,DC04,28,0,0,28
2024-01-01,SKU016,DC01,75,3,0,72
2024-01-01,SKU016,DC02,82,3,0,79
2024-01-01,SKU016,DC03,37,2,0,35
2024-01-01,SKU016,DC04,31,1,0,30
2024-01-01,SKU017,DC01,46,4,0,42
2024-01-01,SKU017,DC02,70,4,0,66
2024-01-01,SKU017,DC03,33,1,0,32
2024-01-01,SKU017,DC04,97,1,0,96
2024-01-01,SKU018,DC01,41,3,0,38
2024-01-01,SKU018,DC02,92,2,0,90
2024-01-01,SKU018,DC03,103,2,0,101
2024-01-01,SKU018,DC04,76,2,0,74
2024-01-01,SKU019,DC01,86,1,0,85
2024-01-01,SKU019,DC02,109,3,0,106
2024-01-01,SKU019,DC03,51,3,0,48
2024-01-01,SKU019,DC04,26,2,0,24
2024-01-01,SKU020,DC01,39,2,0,37
2024-01-01,SKU020,DC02,94,2,0,92
2024-01-01,SKU020,DC03,28,2,0,26
2024-01-01,SKU020,DC04,101,2,0,99
2024-01-01,SKU021,DC01,55,1,0,54
2024-01-01,SKU021,DC02,110,1,0,109
2024-01-01,SKU021,DC03,80,1,0,79
2024-01-01,SKU021,DC04,85,0,0,85
2024-01-01,SKU022,DC01,75,2,0,73
2024-01-01,SKU022,DC02,37,2,0,35
2024-01-01,SKU022,DC03,70,4,0,66
2024-01-01,SKU022,DC04,68,2,0,66
2024-01-01,SKU023,DC01,98,3,0,95
2024-01-01,SKU023,DC02,109,2,0,107
2024-01-01,SKU023,DC03,97,1,0,96
2024-01-01,SKU023,DC04,60,4,0,56
2024-01-01,SKU024,DC01,104,1,0,103
2024-01-01,SKU024,DC02,40,1,0,39
2024-01-01,SKU024,DC03,55,3,0,52
2024-01-01,SKU024,DC04,74,2,0,72
2024-01-02,SKU001,DC01,99,0,0,99
2024-01-02,SKU001,DC02,74,0,0,74
2024-01-02,SKU001,DC03,73,0,0,73
2024-01-02,SKU001,DC04,36,0,0,36
2024-01-02,SKU002,DC01,95,1,0,94
2024-01-02,SKU002,DC02,110,1,0,109
2024-01-02,SKU002,DC03,75,1,0,74
2024-01-02,SKU002,DC04,83,1,0,82
2024-01-02,SKU003,DC01,94,2,0,92
2024-01-02,SKU003,DC02,104,2,0,102
