receipt_id,receipt_date,sku,location_id,quantity_received,supplier_id
REC000001,2024-01-02,SKU006,DC03,15,SUP06
REC000002,2024-01-02,SKU010,DC02,48,SUP02
REC000003,2024-01-02,SKU011,DC02,36,SUP03
REC000004,2024-01-03,SKU011,DC03,17,SUP03
REC000005,2024-01-03,SKU018,DC03,56,SUP02
REC000006,2024-01-03,SKU023,DC03,30,SUP07
REC000007,2024-01-04,SKU014,DC02,20,SUP06
REC000008,2024-01-04,SKU018,DC03,29,SUP02
REC000009,2024-01-05,SKU007,DC04,59,SUP07
REC000010,2024-01-05,SKU014,DC03,22,SUP06
REC000011,2024-01-06,SKU001,DC04,52,SUP01
REC000012,2024-01-06,SKU011,DC03,69,SUP03
REC000013,2024-01-07,SKU020,DC01,33,SUP04
REC000014,2024-01-07,SKU024,DC02,49,SUP08
REC000015,2024-01-08,SKU009,DC02,65,SUP01
REC000016,2024-01-08,SKU014,DC02,19,SUP06
REC000017,2024-01-08,SKU018,DC03,35,SUP02
REC000018,2024-01-09,SKU003,DC02,67,SUP03
REC000019,2024-01-09,SKU011,DC02,69,SUP03
REC000020,2024-01-10,SKU012,DC03,70,SUP04
REC000021,2024-01-10,SKU013,DC04,73,SUP05
REC000022,2024-01-10,SKU023,DC01,56,SUP07
REC000023,2024-01-11,SKU001,DC03,64,SUP01
REC000024,2024-01-11,SKU004,DC01,55,SUP04
REC000025,2024-01-11,SKU014,DC01,33,SUP06
REC000026,2024-01-11,SKU021,DC02,43,SUP05
REC000027,2024-01-12,SKU010,DC01,41,SUP02
REC000028,2024-01-12,SKU015,DC03,45,SUP07
REC000029,2024-01-12,SKU018,DC02,41,SUP02
REC000030,2024-01-13,SKU010,DC02,58,SUP02
REC000031,2024-01-14,SKU005,DC04,48,SUP05
REC000032,2024-01-14,SKU008,DC04,22,SUP08
REC000033,2024-01-14,SKU017,DC01,49,SUP01
REC000034,2024-01-15,SKU008,DC02,18,SUP08
REC000035,2024-01-15,SKU009,DC01,30,SUP01
REC000036,2024-01-15,SKU016,DC02,64,SUP08
REC000037,2024-01-15,SKU017,DC03,23,SUP01
REC000038,2024-01-16,SKU008,DC01,34,SUP08
REC000039,2024-01-16,SKU010,DC01,44,SUP02
REC000040,2024-01-17,SKU007,DC02,23,SUP07
REC000041,2024-01-17,SKU010,DC01,49,SUP02
REC000042,2024-01-17,SKU018,DC04,40,SUP02
REC000043,2024-01-18,SKU016,DC04,39,SUP08
REC000044,2024-01-18,SKU020,DC04,36,SUP04
REC000045,2024-01-18,SKU021,DC02,62,SUP05
REC000046,2024-01-20,SKU017,DC01,60,SUP01
REC000047,2024-01-20,SKU017,DC04,17,SUP01
REC000048,2024-01-21,SKU003,DC02,43,SUP03
REC000049,2024-01-21,SKU009,DC04,45,SUP01
REC000050,2024-01-21,SKU020,DC02,47,SUP04
REC000051,2024-01-21,SKU024,DC04,49,SUP08
REC000052,2024-01-22,SKU009,DC03,50,SUP01
REC000053,2024-01-23,SKU009,DC02,74,SUP01
REC000054,2024-01-23,SKU010,DC04,74,SUP02
REC000055,2024-01-23,SKU012,DC01,40,SUP04
REC000056,2024-01-23,SKU014,DC03,53,SUP06
REC000057,2024-01-23,SKU020,DC01,69,SUP04
REC000058,2024-01-23,SKU022,DC01,39,SUP06
REC000059,2024-01-24,SKU008,DC02,74,SUP08
REC000060,2024-01-24,SKU014,DC02,20,SUP06
REC000061,2024-01-24,SKU018,DC02,17,SUP02
REC000062,2024-01-24,SKU021,DC01,52,SUP05
REC000063,2024-01-24,SKU023,DC02,58,SUP07
REC000064,2024-01-24,SKU024,DC02,19,SUP08
REC000065,2024-01-25,SKU002,DC03,55,SUP02
REC000066,2024-01-25,SKU007,DC04,63,SUP07
REC000067,2024-01-25,SKU008,DC01,68,SUP08
REC000068,2024-01-25,SKU011,DC01,58,SUP03
REC000069,2024-01-25,SKU011,DC04,17,SUP03
REC000070,2024-01-25,SKU012,DC02,20,SUP04
REC000071,2024-01-25,SKU016,DC02,30,SUP08
REC000072,2024-01-25,SKU019,DC03,24,SUP03
REC000073,2024-01-25,SKU021,DC01,61,SUP05
REC000074,2024-01-26,SKU011,DC01,22,SUP03
REC000075,2024-01-26,SKU016,DC04,60,SUP08
REC000076,2024-01-26,SKU021,DC03,56,SUP05
