sale_date,sku,location_id,units_sold
2024-01-01,SKU001,DC01,0
2024-01-01,SKU001,DC02,0
2024-01-01,SKU001,DC03,0
2024-01-01,SKU001,DC04,0
2024-01-01,SKU002,DC01,1
2024-01-01,SKU002,DC02,0
2024-01-01,SKU002,DC03,0
2024-01-01,SKU002,DC04,1
2024-01-01,SKU003,DC01,3
2024-01-01,SKU003,DC02,3
2024-01-01,SKU003,DC03,1
2024-01-01,SKU003,DC04,3
2024-01-01,SKU004,DC01,2
2024-01-01,SKU004,DC02,3
2024-01-01,SKU004,DC03,1
2024-01-01,SKU004,DC04,3
2024-01-01,SKU005,DC01,2
2024-01-01,SKU005,DC02,2
2024-01-01,SKU005,DC03,4
2024-01-01,SKU005,DC04,2
2024-01-01,SKU006,DC01,2
2024-01-01,SKU006,DC02,4
2024-01-01,SKU006,DC03,3
2024-01-01,SKU006,DC04,2
2024-01-01,SKU007,DC01,0
2024-01-01,SKU007,DC02,0
2024-01-01,SKU007,DC03,1
2024-01-01,SKU007,DC04,0
2024-01-01,SKU008,DC01,1
2024-01-01,SKU008,DC02,1
2024-01-01,SKU008,DC03,1
2024-01-01,SKU008,DC04,2
2024-01-01,SKU009,DC01,1
2024-01-01,SKU009,DC02,0
2024-01-01,SKU009,DC03,1
2024-01-01,SKU009,DC04,2
2024-01-01,SKU010,DC01,1
2024-01-01,SKU010,DC02,3
2024-01-01,SKU010,DC03,3
2024-01-01,SKU010,DC04,1
2024-01-01,SKU011,DC01,3
2024-01-01,SKU011,DC02,1
2024-01-01,SKU011,DC03,3
2024-01-01,SKU011,DC04,4
2024-01-01,SKU012,DC01,1
2024-01-01,SKU012,DC02,1
2024-01-01,SKU012,DC03,0
2024-01-01,SKU012,DC04,0
2024-01-01,SKU013,DC01,2
2024-01-01,SKU013,DC02,0
2024-01-01,SKU013,DC03,3
2024-01-01,SKU013,DC04,4
2024-01-01,SKU014,DC01,2
2024-01-01,SKU014,DC02,1
2024-01-01,SKU014,DC03,1
2024-01-01,SKU014,DC04,3
2024-01-01,SKU015,DC01,0
2024-01-01,SKU015,DC02,0
2024-01-01,SKU015,DC03,1
2024-01-01,SKU015,DC04,0
2024-01-01,SKU016,DC01,3
2024-01-01,SKU016,DC02,3
2024-01-01,SKU016,DC03,2
2024-01-01,SKU016,DC04,1
2024-01-01,SKU017,DC01,4
2024-01-01,SKU017,DC02,4
2024-01-01,SKU017,DC03,1
2024-01-01,SKU017,DC04,1
2024-01-01,SKU018,DC01,3
2024-01-01,SKU018,DC02,2
2024-01-01,SKU018,DC03,2
2024-01-01,SKU018,DC04,2
2024-01-01,SKU019,DC01,1
2024-01-01,SKU019,DC02,3
2024-01-01,SKU019,DC03,3
2024-01-01,SKU019,DC04,2
2024-01-01,SKU020,DC01,2
2024-01-01,SKU020,DC02,2
2024-01-01,SKU020,DC03,2
2024-01-01,SKU020,DC04,2
2024-01-01,SKU021,DC01,1
2024-01-01,SKU021,DC02,1
2024-01-01,SKU021,DC03,1
2024-01-01,SKU021,DC04,0
2024-01-01,SKU022,DC01,2
2024-01-01,SKU022,DC02,2
2024-01-01,SKU022,DC03,4
2024-01-01,SKU022,DC04,2
2024-01-01,SKU023,DC01,3
2024-01-01,SKU023,DC02,2
2024-01-01,SKU023,DC03,1
2024-01-01,SKU023,DC04,4
2024-01-01,SKU024,DC01,1
2024-01-01,SKU024,DC02,1
2024-01-01,SKU024,DC03,3
2024-01-01,SKU024,DC04,2
2024-01-02,SKU001,DC01,0
2024-01-02,SKU001,DC02,0
2024-01-02,SKU001,DC03,0
2024-01-02,SKU001,DC04,0
2024-01-02,SKU002,DC01,1
2024-01-02,SKU002,DC02,1
2024-01-02,SKU002,DC03,1
2024-01-02,SKU002,DC04,1
2024-01-02,SKU003,DC01,2
2024-01-02,SKU003,DC02,2
2024-01-02,SKU003,DC03,2
2024-01-02,SKU003,DC04,1
2024-01-02,SKU004,DC01,1
2024-01-02,SKU004,DC02,3
2024-01-02,SKU004,DC03,2
2024-01-02,SKU004,DC04,1
2024-01-02,SKU005,DC01,3
2024-01-02,SKU005,DC02,3
2024-01-02,SKU005,DC03,4
2024-01-02,SKU005,DC04,2
2024-01-02,SKU006,DC01,2
2024-01-02,SKU006,DC02,4
2024-01-02,SKU006,DC03,2
2024-01-02,SKU006,DC04,1
2024-01-02,SKU007,DC01,0
2024-01-02,SKU007,DC02,0
2024-01-02,SKU007,DC03,0
2024-01-02,SKU007,DC04,0
2024-01-02,SKU008,DC01,2
2024-01-02,SKU008,DC02,0
2024-01-02,SKU008,DC03,1
2024-01-02,SKU008,DC04,1
2024-01-02,SKU009,DC01,1
2024-01-02,SKU009,DC02,2
2024-01-02,SKU009,DC03,3
2024-01-02,SKU009,DC04,3
2024-01-02,SKU010,DC01,3
2024-01-02,SKU010,DC02,2
2024-01-02,SKU010,DC03,5
2024-01-02,SKU010,DC04,2
2024-01-02,SKU011,DC01,3
2024-01-02,SKU011,DC02,2
2024-01-02,SKU011,DC03,2
2024-01-02,SKU011,DC04,2
2024-01-02,SKU012,DC01,0
2024-01-02,SKU012,DC02,0
2024-01-02,SKU012,DC03,0
2024-01-02,SKU012,DC04,1
2024-01-02,SKU013,DC01,3
2024-01-02,SKU013,DC02,3
2024-01-02,SKU013,DC03,2
2024-01-02,SKU013,DC04,2
2024-01-02,SKU014,DC01,2
2024-01-02,SKU014,DC02,1
2024-01-02,SKU014,DC03,3
2024-01-02,SKU014,DC04,1
2024-01-02,SKU015,DC01,0
2024-01-02,SKU015,DC02,0
2024-01-02,SKU015,DC03,1
2024-01-02,SKU015,DC04,1
2024-01-02,SKU016,DC01,2
2024-01-02,SKU016,DC02,4
2024-01-02,SKU016,DC03,4
2024-01-02,SKU016,DC04,3
2024-01-02,SKU017,DC01,1
2024-01-02,SKU017,DC02,4
2024-01-02,SKU017,DC03,2
2024-01-02,SKU017,DC04,1
2024-01-02,SKU018,DC01,0
2024-01-02,SKU018,DC02,2
2024-01-02,SKU018,DC03,3
2024-01-02,SKU018,DC04,1
2024-01-02,SKU019,DC01,1
2024-01-02,SKU019,DC02,0
2024-01-02,SKU019,DC03,2
2024-01-02,SKU019,DC04,1
2024-01-02,SKU020,DC01,3
2024-01-02,SKU020,DC02,2
2024-01-02,SKU020,DC03,3
2024-01-02,SKU020,DC04,3
2024-01-02,SKU021,DC01,1
2024-01-02,SKU021,DC02,1
2024-01-02,SKU021,DC03,0
2024-01-02,SKU021,DC04,1
2024-01-02,SKU022,DC01,4
2024-01-02,SKU022,DC02,5
2024-01-02,SKU022,DC03,4
2024-01-02,SKU022,DC04,1
2024-01-02,SKU023,DC01,2
2024-01-02,SKU023,DC02,1
2024-01-02,SKU023,DC03,3
2024-01-02,SKU023,DC04,2
2024-01-02,SKU024,DC01,2
2024-01-02,SKU024,DC02,1
2024-01-02,SKU024,DC03,1
2024-01-02,SKU024,DC04,2
2024-01-03,SKU001,DC01,0
2024-01-03,SKU001,DC02,1
2024-01-03,SKU001,DC03,0
2024-01-03,SKU001,DC04,0
2024-01-03,SKU002,DC01,1
2024-01-03,SKU002,DC02,1
2024-01-03,SKU002,DC03,0
2024-01-03,SKU002,DC04,0
2024-01-03,SKU003,DC01,2
2024-01-03,SKU003,DC02,2
2024-01-03,SKU003,DC03,2
2024-01-03,SKU003,DC04,3
2024-01-03,SKU004,DC01,1
2024-01-03,SKU004,DC02,2
2024-01-03,SKU004,DC03,4
2024-01-03,SKU004,DC04,3
2024-01-03,SKU005,DC01,5
2024-01-03,SKU005,DC02,3
2024-01-03,SKU005,DC03,2
2024-01-03,SKU005,DC04,4
2024-01-03,SKU006,DC01,4
2024-01-03,SKU006,DC02,4
2024-01-03,SKU006,DC03,1
2024-01-03,SKU006,DC04,5
2024-01-03,SKU007,DC01,0
2024-01-03,SKU007,DC02,0
2024-01-03,SKU007,DC03,0
2024-01-03,SKU007,DC04,0
2024-01-03,SKU008,DC01,1
2024-01-03,SKU008,DC02,1
2024-01-03,SKU008,DC03,1
2024-01-03,SKU008,DC04,1
2024-01-03,SKU009,DC01,2
2024-01-03,SKU009,DC02,1
2024-01-03,SKU009,DC03,2
2024-01-03,SKU009,DC04,2
2024-01-03,SKU010,DC01,2
2024-01-03,SKU010,DC02,1
2024-01-03,SKU010,DC03,0
2024-01-03,SKU010,DC04,3
2024-01-03,SKU011,DC01,3
2024-01-03,SKU011,DC02,3
2024-01-03,SKU011,DC03,4
2024-01-03,SKU011,DC04,3
2024-01-03,SKU012,DC01,0
2024-01-03,SKU012,DC02,0
2024-01-03,SKU012,DC03,0
2024-01-03,SKU012,DC04,1
2024-01-03,SKU013,DC01,4
2024-01-03,SKU013,DC02,3
