count_id,count_date,sku,location,zone,scheduled_flag,completed_flag,recount_flag,variance_qty,counter_team
CNT0000001,2026-01-01,SKU0001,Z1-B01,Z1,Y,Y,N,2,Team-3
CNT0000002,2026-01-01,SKU0001,Z1-B02,Z1,Y,Y,Y,3,Team-4
CNT0000003,2026-01-01,SKU0001,Z1-B03,Z1,Y,Y,Y,4,Team-5
CNT0000004,2026-01-01,SKU0001,Z1-B04,Z1,Y,Y,Y,-4,Team-6
CNT0000005,2026-01-01,SKU0001,Z2-B01,Z2,Y,Y,Y,-3,Team-1
CNT0000006,2026-01-01,SKU0001,Z2-B02,Z2,Y,Y,N,-2,Team-2
CNT0000007,2026-01-01,SKU0001,Z2-B03,Z2,Y,Y,N,-1,Team-3
CNT0000008,2026-01-01,SKU0001,Z2-B04,Z2,Y,Y,N,0,Team-4
CNT0000009,2026-01-01,SKU0001,Z3-B01,Z3,Y,Y,N,1,Team-5
CNT0000010,2026-01-01,SKU0001,Z3-B02,Z3,Y,Y,N,2,Team-6
CNT0000011,2026-01-01,SKU0001,Z3-B03,Z3,Y,Y,Y,3,Team-1
CNT0000012,2026-01-01,SKU0001,Z3-B04,Z3,Y,Y,Y,4,Team-2
CNT0000013,2026-01-01,SKU0002,Z1-B01,Z1,Y,Y,N,-2,Team-4
CNT0000014,2026-01-01,SKU0002,Z1-B02,Z1,Y,Y,N,-1,Team-5
CNT0000015,2026-01-01,SKU0002,Z1-B03,Z1,Y,Y,N,0,Team-6
CNT0000016,2026-01-01,SKU0002,Z1-B04,Z1,Y,Y,N,1,Team-1
CNT0000017,2026-01-01,SKU0002,Z2-B01,Z2,Y,N,N,2,Team-2
CNT0000018,2026-01-01,SKU0002,Z2-B02,Z2,Y,Y,Y,3,Team-3
CNT0000019,2026-01-01,SKU0002,Z2-B03,Z2,Y,Y,Y,4,Team-4
CNT0000020,2026-01-01,SKU0002,Z2-B04,Z2,Y,Y,Y,-4,Team-5
