order_id,order_date,sku,ordered_qty,shipped_qty,promised_date,ship_date,customer_segment
ORD0000001,2026-01-01,SKU0002,28,28,2026-01-19,2026-01-19,Maintenance
ORD0000002,2026-01-01,SKU0002,28,28,2026-01-19,2026-01-19,Retail
ORD0000003,2026-01-01,SKU0002,28,28,2026-01-19,2026-01-19,Government
ORD0000004,2026-01-01,SKU0002,28,28,2026-01-19,2026-01-19,Internal
ORD0000005,2026-01-01,SKU0002,28,28,2026-01-19,2026-01-19,Commercial
ORD0000006,2026-01-01,SKU0002,28,28,2026-01-19,2026-01-19,Maintenance
ORD0000007,2026-01-01,SKU0002,28,20,2026-01-19,2026-01-19,Retail
ORD0000008,2026-01-01,SKU0002,28,28,2026-01-19,2026-01-19,Government
ORD0000009,2026-01-01,SKU0002,28,28,2026-01-19,2026-01-19,Internal
ORD0000010,2026-01-01,SKU0002,28,28,2026-01-19,2026-01-19,Commercial
ORD0000011,2026-01-01,SKU0002,28,28,2026-01-19,2026-01-20,Maintenance
ORD0000012,2026-01-01,SKU0002,28,28,2026-01-19,2026-01-19,Retail
ORD0000013,2026-01-01,SKU0004,38,38,2026-01-15,2026-01-15,Government
ORD0000014,2026-01-01,SKU0004,38,30,2026-01-15,2026-01-15,Internal
ORD0000015,2026-01-01,SKU0004,38,38,2026-01-15,2026-01-15,Commercial
ORD0000016,2026-01-01,SKU0004,38,38,2026-01-15,2026-01-15,Maintenance
ORD0000017,2026-01-01,SKU0004,38,38,2026-01-15,2026-01-15,Retail
ORD0000018,2026-01-01,SKU0004,38,38,2026-01-15,2026-01-15,Government
ORD0000019,2026-01-01,SKU0004,38,38,2026-01-15,2026-01-15,Internal
ORD0000020,2026-01-01,SKU0004,38,38,2026-01-15,2026-01-15,Commercial
