transaction_id,transaction_date,sku,location,zone,transaction_type,quantity,shift,reference_id
TXN00000001,2026-01-01,SKU0001,Z1-B01,Z1,PICK,9,Evening,PICK00000001
TXN00000002,2026-01-01,SKU0001,Z1-B02,Z1,PICK,11,Night,PICK00000002
TXN00000003,2026-01-01,SKU0001,Z1-B03,Z1,PICK,1,Day,PICK00000003
TXN00000004,2026-01-01,SKU0001,Z1-B04,Z1,PICK,4,Evening,PICK00000004
TXN00000005,2026-01-01,SKU0001,Z2-B01,Z2,PICK,4,Night,PICK00000005
TXN00000006,2026-01-01,SKU0001,Z2-B02,Z2,PICK,5,Day,PICK00000006
TXN00000007,2026-01-01,SKU0001,Z2-B03,Z2,PICK,5,Evening,PICK00000007
TXN00000008,2026-01-01,SKU0001,Z2-B04,Z2,PICK,7,Night,PICK00000008
TXN00000009,2026-01-01,SKU0001,Z3-B01,Z3,PICK,7,Day,PICK00000009
TXN00000010,2026-01-01,SKU0001,Z3-B02,Z3,PICK,10,Evening,PICK00000010
TXN00000011,2026-01-01,SKU0001,Z3-B03,Z3,PICK,2,Night,PICK00000011
TXN00000012,2026-01-01,SKU0001,Z3-B04,Z3,PICK,3,Day,PICK00000012
TXN00000013,2026-01-01,SKU0002,Z1-B01,Z1,PICK,6,Evening,PICK00000013
TXN00000014,2026-01-01,SKU0002,Z1-B02,Z1,PICK,6,Night,PICK00000014
TXN00000015,2026-01-01,SKU0002,Z1-B03,Z1,PICK,8,Day,PICK00000015
TXN00000016,2026-01-01,SKU0002,Z1-B04,Z1,PICK,6,Evening,PICK00000016
TXN00000017,2026-01-01,SKU0002,Z2-B01,Z2,PICK,10,Night,PICK00000017
TXN00000018,2026-01-01,SKU0002,Z2-B02,Z2,PICK,5,Day,PICK00000018
TXN00000019,2026-01-01,SKU0002,Z2-B03,Z2,PICK,3,Evening,PICK00000019
TXN00000020,2026-01-01,SKU0002,Z2-B04,Z2,PICK,3,Night,PICK00000020
TXN00000021,2026-01-01,SKU0002,Z3-B01,Z3,PICK,5,Day,PICK00000021
TXN00000022,2026-01-01,SKU0002,Z3-B02,Z3,PICK,7,Evening,PICK00000022
TXN00000023,2026-01-01,SKU0002,Z3-B03,Z3,PICK,7,Night,PICK00000023
TXN00000024,2026-01-01,SKU0002,Z3-B03,Z3,RECEIPT,60,Night,RCV00000024
