sku,location_id,count_events,absolute_variance_units,accuracy_pct
SKU001,DC01,24,17,99.82
SKU001,DC02,24,22,99.67
SKU001,DC03,24,23,99.76
SKU001,DC04,24,22,99.63
SKU002,DC01,24,17,99.61
SKU002,DC02,24,21,99.65
SKU002,DC03,24,17,99.22
SKU002,DC04,24,16,98.93
SKU003,DC01,24,18,99.02
SKU003,DC02,24,8,97.86
SKU003,DC03,24,22,99.35
SKU003,DC04,24,22,99.25
SKU004,DC01,24,17,99.26
SKU004,DC02,24,17,95.72
SKU004,DC03,24,14,99.10
SKU004,DC04,24,18,99.35
SKU005,DC01,24,20,95.82
SKU005,DC02,24,19,97.08
SKU005,DC03,24,6,97.54
SKU005,DC04,24,13,97.06
SKU006,DC01,24,15,97.96
SKU006,DC02,24,18,98.25
SKU006,DC03,24,16,98.29
SKU006,DC04,24,15,96.91
SKU007,DC01,24,15,96.49
SKU007,DC02,24,13,97.42
SKU007,DC03,24,21,97.41
SKU007,DC04,24,22,97.11
SKU008,DC01,24,17,96.80
SKU008,DC02,24,18,96.60
SKU008,DC03,24,14,98.06
SKU008,DC04,24,16,96.45
SKU009,DC01,24,16,99.78
SKU009,DC02,24,22,99.62
SKU009,DC03,24,22,99.53
SKU009,DC04,24,16,99.75
SKU010,DC01,24,24,99.61
SKU010,DC02,24,15,99.61
SKU010,DC03,24,15,99.83
SKU010,DC04,24,17,99.75
SKU011,DC01,24,21,99.13
SKU011,DC02,24,24,99.37
SKU011,DC03,24,24,99.50
SKU011,DC04,24,12,99.13
SKU012,DC01,24,13,98.87
SKU012,DC02,24,21,99.57
SKU012,DC03,24,16,98.54
SKU012,DC04,24,18,99.00
SKU013,DC01,24,14,98.33
SKU013,DC02,24,17,99.28
SKU013,DC03,24,26,98.70
SKU013,DC04,24,18,98.17
SKU014,DC01,24,16,97.33
SKU014,DC02,24,13,99.06
SKU014,DC03,24,14,97.95
SKU014,DC04,24,15,98.69
SKU015,DC01,24,16,96.75
SKU015,DC02,24,19,99.55
SKU015,DC03,24,24,97.43
SKU015,DC04,24,19,97.48
SKU016,DC01,24,13,98.92
SKU016,DC02,24,15,97.66
SKU016,DC03,24,17,97.73
SKU016,DC04,24,12,94.76
SKU017,DC01,24,12,94.71
SKU017,DC02,24,10,97.21
SKU017,DC03,24,10,97.43
SKU017,DC04,24,19,95.62
SKU018,DC01,24,21,99.78
SKU018,DC02,24,17,99.81
SKU018,DC03,24,24,99.43
SKU018,DC04,24,28,99.59
SKU019,DC01,24,22,99.73
SKU019,DC02,24,20,99.65
SKU019,DC03,24,19,99.65
SKU019,DC04,24,17,99.73
SKU020,DC01,24,25,99.30
SKU020,DC02,24,21,99.20
SKU020,DC03,24,22,99.55
SKU020,DC04,24,22,99.20
SKU021,DC01,24,14,99.26
SKU021,DC02,24,14,99.34
SKU021,DC03,24,17,97.61
SKU021,DC04,24,16,98.93
SKU022,DC01,24,18,98.10
SKU022,DC02,24,21,98.31
SKU022,DC03,24,23,94.06
SKU022,DC04,24,12,98.26
SKU023,DC01,24,24,97.88
SKU023,DC02,24,7,99.19
SKU023,DC03,24,21,99.30
SKU023,DC04,24,12,98.85
SKU024,DC01,24,14,99.16
SKU024,DC02,24,20,95.53
SKU024,DC03,24,16,98.66
SKU024,DC04,24,22,97.85
