sku,location_id,absolute_variance_units,variance_events_over_1_unit,system_units_counted
SKU001,DC01,17,5,9573
SKU001,DC02,22,8,6623
SKU001,DC03,23,10,9424
SKU001,DC04,22,9,5943
SKU002,DC01,17,6,4305
SKU002,DC02,21,7,5986
SKU002,DC03,17,6,2180
SKU002,DC04,16,6,1498
SKU003,DC01,18,4,1837
SKU003,DC02,8,2,373
SKU003,DC03,22,8,3389
SKU003,DC04,22,7,2952
SKU004,DC01,17,3,2296
SKU004,DC02,17,6,397
SKU004,DC03,14,4,1547
SKU004,DC04,18,8,2786
SKU005,DC01,20,6,478
SKU005,DC02,19,5,651
SKU005,DC03,6,1,244
SKU005,DC04,13,5,442
SKU006,DC01,15,5,735
SKU006,DC02,18,6,1029
SKU006,DC03,16,6,934
SKU006,DC04,15,4,485
SKU007,DC01,15,6,427
SKU007,DC02,13,4,504
SKU007,DC03,21,7,810
SKU007,DC04,22,8,762
SKU008,DC01,17,5,532
SKU008,DC02,18,8,530
SKU008,DC03,14,4,723
SKU008,DC04,16,7,451
SKU009,DC01,16,7,7216
SKU009,DC02,22,7,5770
SKU009,DC03,22,7,4650
SKU009,DC04,16,6,6403
SKU010,DC01,24,8,6209
SKU010,DC02,15,4,3840
SKU010,DC03,15,4,9051
SKU010,DC04,17,5,6878
SKU011,DC01,21,7,2411
SKU011,DC02,24,9,3812
SKU011,DC03,24,9,4809
SKU011,DC04,12,3,1373
SKU012,DC01,13,2,1146
SKU012,DC02,21,6,4892
SKU012,DC03,16,6,1093
SKU012,DC04,18,6,1796
SKU013,DC01,14,5,836
SKU013,DC02,17,5,2364
SKU013,DC03,26,8,1996
SKU013,DC04,18,6,981
SKU014,DC01,16,5,599
SKU014,DC02,13,5,1384
SKU014,DC03,14,5,683
SKU014,DC04,15,4,1147
SKU015,DC01,16,5,492
SKU015,DC02,19,4,4254
SKU015,DC03,24,9,934
SKU015,DC04,19,8,754
SKU016,DC01,13,4,1207
SKU016,DC02,15,5,641
SKU016,DC03,17,7,749
SKU016,DC04,12,5,229
SKU017,DC01,12,3,227
SKU017,DC02,10,3,358
SKU017,DC03,10,3,389
SKU017,DC04,19,7,434
SKU018,DC01,21,7,9756
SKU018,DC02,17,6,8806
SKU018,DC03,24,9,4179
SKU018,DC04,28,10,6911
SKU019,DC01,22,6,8088
SKU019,DC02,20,6,5706
SKU019,DC03,19,6,5476
SKU019,DC04,17,7,6303
SKU020,DC01,25,10,3558
SKU020,DC02,21,6,2641
SKU020,DC03,22,8,4871
SKU020,DC04,22,9,2735
SKU021,DC01,14,3,1895
SKU021,DC02,14,6,2119
SKU021,DC03,17,5,712
SKU021,DC04,16,5,1492
SKU022,DC01,18,8,948
SKU022,DC02,21,8,1245
SKU022,DC03,23,7,387
SKU022,DC04,12,3,688
SKU023,DC01,24,9,1130
SKU023,DC02,7,3,859
SKU023,DC03,21,6,3001
SKU023,DC04,12,4,1045
SKU024,DC01,14,5,1671
SKU024,DC02,20,8,447
SKU024,DC03,16,5,1198
SKU024,DC04,22,8,1025
