zone,location,sku_location_records,total_adjustment_value,average_inventory_accuracy,stockout_risk_records,recount_count,priority_rank
Z2,Z2-B04,300,89263.70,99.98,200,1631,1
Z3,Z3-B04,300,88537.90,99.98,190,1632,2
Z1,Z1-B02,300,87961.10,99.98,201,1633,3
Z2,Z2-B02,300,86910.30,99.98,192,1633,4
Z3,Z3-B01,300,86464.40,99.98,200,1630,5
Z2,Z2-B03,300,86379.30,99.98,199,1632,6
Z1,Z1-B03,300,86287.40,99.98,193,1632,7
Z1,Z1-B01,300,85491.40,99.98,202,1631,8
Z1,Z1-B04,300,84520.50,99.98,184,1631,9
Z3,Z3-B02,300,84279.70,99.98,196,1631,10
Z3,Z3-B03,300,83654.80,99.98,195,1632,11
Z2,Z2-B01,300,83210.60,99.98,186,1630,12
