month,total_closing_units,stockout_observations
2024-01,161488,241
2024-02,142908,752
2024-03,177628,784
2024-04,175347,822
2024-05,215159,865
2024-06,230258,936
2024-07,251141,812
2024-08,275012,884
2024-09,298413,819
2024-10,319542,662
2024-11,325857,814
2024-12,335111,798
2025-01,339980,671
2025-02,314502,686
2025-03,374976,649
2025-04,361687,801
2025-05,395110,747
2025-06,385820,624
2025-07,415398,840
2025-08,425692,810
2025-09,445269,584
2025-10,462414,736
2025-11,455217,782
2025-12,494297,875
