priority,sku,location_id,recommended_action,risk_score,accuracy_pct
High,SKU017,DC01,Expedite or transfer,83.15,94.71
High,SKU016,DC04,Expedite or transfer,82.32,94.76
High,SKU017,DC03,Expedite or transfer,81.79,97.43
High,SKU005,DC03,Expedite or transfer,81.49,97.54
High,SKU017,DC04,Expedite or transfer,81.19,95.62
High,SKU024,DC02,Expedite or transfer,79.23,95.53
High,SKU022,DC03,Expedite or transfer,77.73,94.06
High,SKU007,DC02,Expedite or transfer,76.37,97.42
High,SKU006,DC04,Expedite or transfer,74.72,96.91
High,SKU004,DC02,Expedite or transfer,73.67,95.72
High,SKU008,DC02,Expedite or transfer,71.26,96.60
High,SKU015,DC01,Expedite or transfer,71.03,96.75
High,SKU005,DC01,Expedite or transfer,70.43,95.82
High,SKU016,DC01,Expedite or transfer,70.36,98.92
High,SKU022,DC04,Expedite or transfer,69.90,98.26
High,SKU008,DC03,Expedite or transfer,69.83,98.06
High,SKU007,DC04,Expedite or transfer,69.60,97.11
High,SKU024,DC04,Expedite or transfer,69.60,97.85
High,SKU006,DC01,Expedite or transfer,68.70,97.96
High,SKU016,DC02,Expedite or transfer,68.63,97.66
High,SKU007,DC01,Expedite or transfer,67.95,96.49
High,SKU016,DC03,Expedite or transfer,67.05,97.73
High,SKU023,DC01,Expedite or transfer,64.94,97.88
High,SKU022,DC01,Expedite or transfer,64.71,98.10
High,SKU006,DC02,Expedite or transfer,64.49,98.25
High,SKU024,DC03,Expedite or transfer,64.11,98.66
High,SKU003,DC02,Expedite or transfer,63.36,97.86
High,SKU021,DC03,Expedite or transfer,62.00,97.61
High,SKU015,DC03,Expedite or transfer,61.93,97.43
High,SKU007,DC03,Expedite or transfer,61.89,97.41
High,SKU012,DC01,Expedite or transfer,61.48,98.87
High,SKU014,DC03,Expedite or transfer,61.24,97.95
High,SKU022,DC02,Expedite or transfer,59.67,98.31
Medium,SKU014,DC02,Review reorder point,53.93,99.06
Medium,SKU011,DC04,Review reorder point,53.80,99.13
Medium,SKU024,DC01,Review reorder point,53.20,99.16
Medium,SKU013,DC03,Review reorder point,52.98,98.70
Medium,SKU006,DC03,Review reorder point,51.47,98.29
Medium,SKU017,DC02,Review reorder point,49.50,97.21
Medium,SKU023,DC02,Review reorder point,48.78,99.19
Medium,SKU008,DC01,Review reorder point,29.34,96.80
Medium,SKU008,DC04,Review reorder point,27.99,96.45
Medium,SKU005,DC02,Review reorder point,27.24,97.08
Medium,SKU020,DC04,Review reorder point,26.88,99.20
Medium,SKU014,DC01,Review reorder point,26.79,97.33
Medium,SKU005,DC04,Review reorder point,26.71,97.06
