priority_rank,sku,product_name,category,supplier,location_count,total_system_qty,total_physical_qty,total_quantity_variance,total_absolute_quantity_variance,unit_cost,inventory_value,adjustment_exposure,average_daily_demand,days_of_supply,reorder_point,safety_stock,lead_time_days,reorder_point_trigger,safety_stock_trigger,lead_time_trigger,materiality_flag,replenishment_tier,replenishment_reason,action_flag,priority_score
1,SKU0188,Maintenance Parts 0188,Maintenance Parts,Cedar Components,12,111,111,0,0,554.00,61494.00,8864.00,15.67,7.09,176,79,28,Y,N,Y,Y,High,High: total quantity <= reorder point and days of supply <= lead time,Y,81.03
2,SKU0208,Maintenance Parts 0208,Maintenance Parts,Cedar Components,12,0,0,0,0,364.00,0.00,5824.00,22.14,0.00,156,79,28,Y,Y,Y,Y,Critical,Critical: total physical quantity is zero or days of supply <= 0.25 lead time,Y,64.57
3,SKU0277,Fasteners 0277,Fasteners,Blue Ridge Supply,12,0,0,0,0,563.50,0.00,5071.50,22.50,0.00,159,76,31,Y,Y,Y,Y,Critical,Critical: total physical quantity is zero or days of supply <= 0.25 lead time,Y,60.75
4,SKU0007,Fasteners 0007,Fasteners,Blue Ridge Supply,12,0,0,0,0,428.50,0.00,3856.50,22.50,0.00,189,76,37,Y,Y,Y,Y,Critical,Critical: total physical quantity is zero or days of supply <= 0.25 lead time,Y,54.58
5,SKU0013,Safety Supplies 0013,Safety Supplies,Cedar Components,12,93,93,0,0,191.50,17809.50,3447.00,15.58,5.97,151,64,31,Y,N,Y,Y,Critical,Critical: total physical quantity is zero or days of supply <= 0.25 lead time,Y,52.80
6,SKU0044,Packaging 0044,Packaging,Harbor Safety,12,0,0,0,0,392.00,0.00,784.00,22.69,0.00,208,67,28,Y,Y,Y,Y,Critical,Critical: total physical quantity is zero or days of supply <= 0.25 lead time,Y,38.98
7,SKU0251,Industrial Supplies 0251,Industrial Supplies,Atlas Industrial,12,175,175,0,0,540.50,94587.50,0.00,15.58,11.23,217,58,37,Y,N,Y,Y,High,High: total quantity <= reorder point and days of supply <= lead time,Y,36.58
8,SKU0121,Industrial Supplies 0121,Industrial Supplies,Atlas Industrial,12,0,0,0,0,425.50,0.00,0.00,22.22,0.00,187,58,31,Y,Y,Y,Y,Critical,Critical: total physical quantity is zero or days of supply <= 0.25 lead time,Y,35.00
9,SKU0193,Safety Supplies 0193,Safety Supplies,Cedar Components,12,9949,9951,-2,2,118.10,1175213.10,2125.80,5.82,1710.77,63,15,5,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,30.38
10,SKU0258,Maintenance Parts 0258,Maintenance Parts,Cedar Components,12,10116,10116,0,0,118.60,1199757.60,1897.60,5.37,1884.97,58,20,10,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,29.63
