priority_rank,sku,product_name,category,supplier,location,zone,system_qty,physical_qty,quantity_variance,absolute_quantity_variance,unit_cost,inventory_value,cumulative_adjustment_value,average_daily_demand,days_of_supply,reorder_point,safety_stock,lead_time_days,stockout_risk_flag,historical_stockout_observation_count,variance_event_count,materiality_flag,risk_tier,risk_reason,current_action_flag,priority_score,recommended_count_frequency
1,SKU0097,Fasteners 0097,Fasteners,Blue Ridge Supply,Z2-B04,Z2,82,82,0,10.0,122.90,10077.80,1229.00,11.36,7.22,47,15,17,Y,180,5,Y,Watch,Watch: days of supply <= lead time or materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,73.97,Weekly
2,SKU0226,Consumables 0226,Consumables,Atlas Industrial,Z1-B03,Z1,15,15,0,10.0,120.20,1803.00,1202.00,11.39,1.32,26,20,20,Y,180,5,Y,Critical,Critical: days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,73.31,Weekly
3,SKU0128,Maintenance Parts 0128,Maintenance Parts,Cedar Components,Z3-B04,Z3,152,152,0,10.0,117.60,17875.20,1176.00,11.42,13.31,68,10,18,Y,173,5,Y,Watch,Watch: days of supply <= lead time or materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,73.03,Weekly
4,SKU0032,Electrical Components 0032,Electrical Components,Blue Ridge Supply,Z1-B02,Z1,46,46,0,10.0,122.40,5630.40,1224.00,11.19,4.11,52,10,12,Y,168,5,Y,High,High: physical quantity <= reorder point and days of supply <= lead time; materiality flag=Y,Y,72.47,Weekly
5,SKU0096,Consumables 0096,Consumables,Atlas Industrial,Z1-B04,Z1,10,8,2,10.0,119.20,953.60,1192.00,11.75,0.68,36,10,10,Y,180,5,Y,Critical,Critical: days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,70.78,Weekly
6,SKU0223,Safety Supplies 0223,Safety Supplies,Cedar Components,Z2-B03,Z2,183,183,0,10.0,109.10,19965.30,1091.00,11.19,16.35,73,45,17,Y,158,5,Y,Watch,Watch: days of supply <= lead time or materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,70.47,Weekly
7,SKU0061,Industrial Supplies 0061,Industrial Supplies,Atlas Industrial,Z3-B01,Z3,15,15,0,10.0,109.70,1645.50,1097.00,11.58,1.29,51,35,17,Y,180,5,Y,Critical,Critical: days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,69.66,Weekly
8,SKU0190,Material Handling 0190,Material Handling,Summit Packaging,Z3-B01,Z3,0,0,0,10.0,107.00,0.00,1070.00,11.00,0.00,30,40,20,Y,180,5,Y,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,69.45,Weekly
9,SKU0289,Shipping Supplies 0289,Shipping Supplies,Harbor Safety,Z1-B01,Z1,25,25,0,10.0,113.30,2832.50,1133.00,11.19,2.23,79,15,11,Y,180,5,Y,Critical,Critical: days of supply <= 0.25 lead time,Y,69.38,Weekly
10,SKU0092,Electrical Components 0092,Electrical Components,Blue Ridge Supply,Z1-B02,Z1,0,0,0,10.0,104.40,0.00,1044.00,11.33,0.00,72,30,18,Y,180,5,Y,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,68.36,Weekly
