sku,location_id,region,current_stock,avg_daily_demand,demand_stddev,lead_time_days,safety_stock,days_of_cover,stockout_days,risk_score,risk_band
SKU013,DC01,East,0,1.01,1.46,8,6.8,0.0,450,78.9,High
SKU005,DC03,West,0,1.15,1.50,8,7.0,0.0,417,76.4,High
SKU022,DC02,Central,0,1.46,1.91,9,9.4,0.0,410,75.8,High
SKU022,DC03,West,0,1.47,1.85,9,9.2,0.0,402,75.2,High
SKU013,DC03,West,0,1.29,1.55,8,7.2,0.0,378,73.4,High
SKU017,DC01,East,0,1.29,1.50,4,5.0,0.0,367,72.6,High
SKU017,DC03,West,0,1.28,1.48,4,4.9,0.0,365,72.5,High
SKU022,DC01,East,3,1.51,1.88,9,9.3,2.0,393,71.5,High
SKU017,DC02,Central,0,1.39,1.48,4,4.9,0.0,323,69.3,High
SKU022,DC04,South,0,1.98,1.97,9,9.8,0.0,310,68.3,High
SKU006,DC01,East,0,1.53,1.53,9,7.6,0.0,302,67.7,High
SKU005,DC01,East,0,1.58,1.56,8,7.3,0.0,297,67.3,High
SKU010,DC04,South,0,1.39,1.37,5,5.1,0.0,292,67.0,High
SKU016,DC01,East,0,1.54,1.52,3,4.3,0.0,287,66.6,High
SKU013,DC04,South,0,1.80,1.60,8,7.5,0.0,243,63.3,High
SKU019,DC02,Central,0,1.51,1.30,6,5.3,0.0,233,62.5,High
SKU011,DC04,South,0,1.56,1.30,6,5.2,0.0,223,61.8,High
SKU019,DC03,West,0,1.58,1.34,6,5.4,0.0,223,61.8,High
SKU006,DC02,Central,0,1.76,1.48,9,7.3,0.0,217,61.3,High
SKU005,DC04,South,0,1.89,1.51,8,7.0,0.0,205,60.4,High
SKU014,DC04,South,0,1.68,1.31,9,6.5,0.0,203,60.3,High
SKU023,DC04,South,0,1.42,1.11,10,5.8,0.0,181,58.6,High
SKU014,DC03,West,2,1.63,1.32,9,6.5,1.2,200,57.6,High
SKU011,DC02,Central,0,1.70,1.29,6,5.2,0.0,166,57.5,High
SKU023,DC03,West,0,1.63,1.08,10,5.7,0.0,113,53.5,Medium
SKU003,DC01,East,5,1.18,1.14,6,4.6,4.2,279,51.6,Medium
SKU014,DC02,Central,14,1.26,1.30,9,6.4,11.1,296,50.4,Medium
SKU009,DC04,South,7,1.30,0.85,4,2.8,5.4,103,44.0,Medium
SKU010,DC02,Central,10,1.59,1.28,5,4.7,6.3,201,41.9,Medium
SKU006,DC04,South,22,1.59,1.50,9,7.4,13.8,268,41.8,Medium
SKU004,DC02,Central,9,1.53,1.28,7,5.6,5.9,209,40.1,Medium
SKU008,DC02,Central,3,1.08,0.67,3,1.9,2.8,34,39.1,Medium
SKU016,DC04,South,23,1.60,1.52,3,4.3,14.4,275,30.4,Medium
SKU014,DC01,East,22,1.81,1.26,9,6.2,12.2,142,29.1,Medium
SKU010,DC03,West,20,1.51,1.35,5,5.0,13.2,238,26.9,Medium
SKU006,DC03,West,44,1.35,1.52,9,7.5,32.7,354,26.6,Medium
SKU019,DC01,East,138,1.26,1.34,6,5.4,109.8,325,24.5,Low
SKU011,DC01,East,25,1.76,1.27,6,5.1,14.2,162,24.2,Low
SKU017,DC04,South,130,1.45,1.48,4,4.9,89.6,304,22.9,Low
SKU020,DC03,West,43,1.15,1.18,7,5.2,37.3,298,22.4,Low
SKU005,DC02,Central,45,1.56,1.54,8,7.2,28.9,288,21.7,Low
SKU019,DC04,South,209,1.38,1.34,6,5.4,151.1,285,21.4,Low
SKU016,DC03,West,56,1.64,1.57,3,4.5,34.1,278,20.9,Low
SKU016,DC02,Central,125,1.59,1.50,3,4.3,78.5,269,20.2,Low
SKU020,DC01,East,92,1.26,1.19,7,5.2,73.0,267,20.1,Low
SKU003,DC02,Central,69,1.30,1.17,6,4.7,53.1,242,18.2,Low
SKU020,DC02,Central,53,1.34,1.17,7,5.1,39.5,239,18.0,Low
SKU013,DC02,Central,69,1.86,1.62,8,7.6,37.0,228,17.2,Low
SKU010,DC01,East,82,1.68,1.33,5,4.9,48.9,198,14.9,Low
SKU004,DC03,West,111,1.56,1.25,7,5.5,71.2,197,14.8,Low
SKU004,DC04,South,27,1.63,1.26,7,5.5,16.6,185,13.9,Low
SKU003,DC03,West,157,1.45,1.13,6,4.6,108.4,178,13.4,Low
SKU024,DC02,Central,195,1.09,0.88,3,2.5,178.2,175,13.2,Low
SKU003,DC04,South,121,1.44,1.09,6,4.4,84.2,170,12.8,Low
SKU011,DC03,West,315,1.80,1.21,6,4.9,175.0,125,9.4,Low
SKU018,DC01,East,167,1.53,0.97,5,3.6,109.4,90,6.8,Low
SKU024,DC04,South,291,1.27,0.80,3,2.3,229.0,86,6.5,Low
SKU018,DC02,Central,33,1.75,0.81,5,3.0,18.9,0,5.9,Low
SKU020,DC04,South,104,1.78,1.04,7,4.6,58.4,78,5.9,Low
SKU004,DC01,East,71,2.00,1.12,7,4.9,35.5,76,5.7,Low
SKU018,DC04,South,193,1.58,0.89,5,3.3,122.1,47,3.5,Low
SKU008,DC04,South,271,1.11,0.66,3,1.9,244.9,31,2.3,Low
SKU023,DC01,East,52,1.82,0.93,10,4.9,28.5,31,2.3,Low
SKU024,DC03,West,172,1.43,0.77,3,2.2,120.4,22,1.7,Low
SKU009,DC01,East,448,1.40,0.76,4,2.5,319.8,15,1.1,Low
SKU021,DC03,West,356,1.04,0.64,8,3.0,342.0,12,0.9,Low
SKU008,DC03,West,405,1.13,0.61,3,1.7,358.4,8,0.6,Low
SKU024,DC01,East,236,1.45,0.73,3,2.1,162.6,2,0.2,Low
SKU001,DC01,East,852,0.34,0.48,4,1.6,2521.5,0,0.0,Low
SKU001,DC02,Central,527,0.32,0.47,4,1.6,1625.5,0,0.0,Low
SKU001,DC03,West,835,0.31,0.47,4,1.5,2677.1,0,0.0,Low
SKU001,DC04,South,1281,0.32,0.47,4,1.6,4001.8,0,0.0,Low
SKU002,DC01,East,709,0.71,0.53,5,1.9,1002.5,0,0.0,Low
SKU002,DC02,Central,473,0.68,0.52,5,1.9,694.3,0,0.0,Low
SKU002,DC03,West,1078,0.71,0.52,5,1.9,1515.4,0,0.0,Low
SKU002,DC04,South,566,0.73,0.52,5,1.9,779.2,0,0.0,Low
SKU007,DC01,East,1627,0.06,0.25,10,1.3,25305.0,0,0.0,Low
SKU007,DC02,Central,972,0.06,0.23,10,1.2,17330.0,0,0.0,Low
SKU007,DC03,West,1197,0.06,0.24,10,1.3,19021.9,0,0.0,Low
SKU007,DC04,South,894,0.07,0.26,10,1.3,12567.6,0,0.0,Low
SKU008,DC01,East,740,1.09,0.61,3,1.8,680.4,0,0.0,Low
SKU009,DC02,Central,450,1.45,0.74,4,2.4,310.6,0,0.0,Low
SKU009,DC03,West,222,1.47,0.74,4,2.4,150.8,0,0.0,Low
SKU012,DC01,East,947,0.54,0.51,7,2.2,1761.5,0,0.0,Low
SKU012,DC02,Central,468,0.57,0.52,7,2.3,824.4,0,0.0,Low
SKU012,DC03,West,912,0.58,0.52,7,2.3,1576.1,0,0.0,Low
SKU012,DC04,South,836,0.55,0.53,7,2.3,1508.9,0,0.0,Low
SKU015,DC01,East,842,0.30,0.46,10,2.4,2810.5,0,0.0,Low
SKU015,DC02,Central,530,0.35,0.48,10,2.5,1519.3,0,0.0,Low
SKU015,DC03,West,1012,0.35,0.48,10,2.5,2867.3,0,0.0,Low
SKU015,DC04,South,1152,0.32,0.48,10,2.5,3553.2,0,0.0,Low
SKU018,DC03,West,317,1.73,0.86,5,3.2,182.9,0,0.0,Low
