sku,product_name,category,supplier,location,zone,physical_qty,average_daily_demand,days_of_supply,reorder_point,safety_stock,lead_time_days,materiality_flag,risk_tier,risk_reason,current_action_flag,stockout_risk_reason,recommended_action
SKU0001,Industrial Supplies 0001,Industrial Supplies,Atlas Industrial,Z1-B01,Z1,0,10.83,0.00,31,15,11,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0001,Industrial Supplies 0001,Industrial Supplies,Atlas Industrial,Z1-B02,Z1,0,10.83,0.00,31,15,11,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0001,Industrial Supplies 0001,Industrial Supplies,Atlas Industrial,Z2-B04,Z2,29,10.83,2.68,31,15,11,N,Critical,Critical: days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0001,Industrial Supplies 0001,Industrial Supplies,Atlas Industrial,Z3-B01,Z3,22,10.83,2.03,31,15,11,N,Critical,Critical: days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0001,Industrial Supplies 0001,Industrial Supplies,Atlas Industrial,Z3-B02,Z3,10,10.83,0.92,31,15,11,N,Critical,Critical: days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0002,Electrical Components 0002,Electrical Components,Blue Ridge Supply,Z1-B01,Z1,0,10.97,0.00,42,20,18,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0002,Electrical Components 0002,Electrical Components,Blue Ridge Supply,Z1-B03,Z1,48,10.97,4.37,42,20,18,N,Critical,Critical: days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0002,Electrical Components 0002,Electrical Components,Blue Ridge Supply,Z1-B04,Z1,35,10.97,3.19,42,20,18,N,Critical,Critical: days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0002,Electrical Components 0002,Electrical Components,Blue Ridge Supply,Z2-B01,Z2,35,10.97,3.19,42,20,18,N,Critical,Critical: days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0002,Electrical Components 0002,Electrical Components,Blue Ridge Supply,Z2-B04,Z2,43,10.97,3.92,42,20,18,N,Critical,Critical: days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0002,Electrical Components 0002,Electrical Components,Blue Ridge Supply,Z3-B01,Z3,25,10.97,2.28,42,20,18,N,Critical,Critical: days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0002,Electrical Components 0002,Electrical Components,Blue Ridge Supply,Z3-B02,Z3,18,10.97,1.64,42,20,18,N,Critical,Critical: days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0002,Electrical Components 0002,Electrical Components,Blue Ridge Supply,Z3-B03,Z3,0,10.97,0.00,42,20,18,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0002,Electrical Components 0002,Electrical Components,Blue Ridge Supply,Z3-B04,Z3,0,10.97,0.00,42,20,18,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0003,Safety Supplies 0003,Safety Supplies,Cedar Components,Z2-B02,Z2,15,11.19,1.34,53,25,7,N,Critical,Critical: days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0003,Safety Supplies 0003,Safety Supplies,Cedar Components,Z2-B03,Z2,1,11.19,0.09,53,25,7,N,Critical,Critical: days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0003,Safety Supplies 0003,Safety Supplies,Cedar Components,Z2-B04,Z2,0,11.19,0.00,53,25,7,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0003,Safety Supplies 0003,Safety Supplies,Cedar Components,Z3-B04,Z3,15,11.19,1.34,53,25,7,N,Critical,Critical: days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0004,Packaging 0004,Packaging,Harbor Safety,Z1-B01,Z1,27,11.33,2.38,64,30,14,N,Critical,Critical: days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
