sku,location_id,current_stock,avg_daily_demand,safety_stock,days_of_cover,stockout_days,risk_score,risk_band
SKU001,DC01,667,1.05,2.32,637.36,0,0.00,Low
SKU001,DC02,530,1.02,2.31,519.34,0,0.00,Low
SKU001,DC03,830,1.07,2.49,776.86,0,0.00,Low
SKU001,DC04,285,1.08,2.39,262.72,0,0.00,Low
SKU002,DC01,286,1.36,3.48,210.96,0,0.00,Low
SKU002,DC02,336,1.32,3.39,255.32,0,0.00,Low
SKU002,DC03,72,1.34,3.79,53.93,36,2.71,Low
SKU002,DC04,28,1.13,3.83,24.84,128,9.63,Low
SKU003,DC01,132,1.50,3.68,88.04,96,7.22,Low
SKU003,DC02,0,1.15,4.15,0.00,244,63.36,High
SKU003,DC03,260,1.62,3.52,160.80,61,4.59,Low
SKU003,DC04,91,1.73,3.09,52.59,3,0.23,Low
SKU004,DC01,197,1.86,3.33,105.89,52,3.91,Low
SKU004,DC02,0,0.95,4.13,0.00,381,73.67,High
SKU004,DC03,16,1.51,4.06,10.58,188,19.28,Low
SKU004,DC04,145,1.73,3.58,83.72,102,7.67,Low
SKU005,DC01,0,1.85,5.16,0.00,338,70.43,High
SKU005,DC02,30,1.74,5.20,17.23,362,27.24,Medium
SKU005,DC03,0,1.12,4.71,0.00,485,81.49,High
SKU005,DC04,49,1.78,5.25,27.53,355,26.71,Medium
SKU006,DC01,0,1.53,5.82,0.00,315,68.70,High
SKU006,DC02,0,1.72,5.75,0.00,259,64.49,High
SKU006,DC03,14,1.62,5.84,8.67,291,51.47,Medium
SKU006,DC04,0,1.25,5.87,0.00,395,74.72,High
SKU007,DC01,0,1.73,5.85,0.00,305,67.95,High
SKU007,DC02,0,1.28,5.72,0.00,417,76.37,High
SKU007,DC03,8,1.50,6.00,5.34,374,61.89,High
SKU007,DC04,0,1.66,5.92,0.00,327,69.60,High
SKU008,DC01,66,1.53,8.04,43.08,390,29.34,Medium
SKU008,DC02,0,1.72,8.09,0.00,349,71.26,High
SKU008,DC03,0,1.83,8.15,0.00,330,69.83,High
SKU008,DC04,99,1.63,8.16,60.66,372,27.99,Medium
SKU009,DC01,543,0.80,3.89,677.36,0,0.00,Low
SKU009,DC02,514,0.76,3.76,675.78,0,0.00,Low
SKU009,DC03,269,0.76,3.94,354.94,0,0.00,Low
SKU009,DC04,549,0.73,3.74,754.36,0,0.00,Low
SKU010,DC01,303,0.98,3.54,308.92,19,1.43,Low
SKU010,DC02,592,0.97,3.48,612.96,31,2.33,Low
SKU010,DC03,669,1.09,3.51,614.37,0,0.00,Low
SKU010,DC04,287,1.04,3.73,275.32,0,0.00,Low
SKU011,DC01,358,1.18,3.63,304.30,86,6.47,Low
SKU011,DC02,414,1.31,3.20,316.89,21,1.58,Low
SKU011,DC03,438,1.32,3.50,332.13,17,1.28,Low
SKU011,DC04,0,1.10,3.60,0.00,117,53.80,Medium
SKU012,DC01,0,1.22,2.84,0.00,219,61.48,High
SKU012,DC02,517,1.76,2.20,293.88,0,0.00,Low
SKU012,DC03,102,1.20,2.76,84.83,202,15.20,Low
SKU012,DC04,55,1.37,2.69,40.20,138,10.38,Low
SKU013,DC01,22,1.26,6.50,17.42,282,21.22,Low
SKU013,DC02,68,1.82,5.17,37.37,73,5.49,Low
SKU013,DC03,0,1.73,5.50,0.00,106,52.98,Medium
SKU013,DC04,107,1.60,5.75,66.68,149,11.21,Low
SKU014,DC01,69,1.18,3.66,58.31,356,26.79,Medium
SKU014,DC02,4,1.74,3.51,2.29,188,53.93,Medium
SKU014,DC03,8,1.19,3.63,6.74,354,61.24,High
SKU014,DC04,44,1.65,3.57,26.65,218,16.40,Low
SKU015,DC01,0,1.42,8.29,0.00,346,71.03,High
SKU015,DC02,94,2.53,5.53,37.12,40,3.01,Low
SKU015,DC03,0,1.85,7.86,0.00,225,61.93,High
SKU015,DC04,133,1.83,7.97,72.61,231,17.38,Low
SKU016,DC01,0,1.58,7.72,0.00,337,70.36,High
SKU016,DC02,0,1.72,7.95,0.00,314,68.63,High
SKU016,DC03,0,1.81,7.90,0.00,293,67.05,High
SKU016,DC04,0,0.95,7.17,0.00,496,82.32,High
SKU017,DC01,0,1.49,7.59,0.00,507,83.15,High
SKU017,DC02,24,1.39,7.33,17.32,518,49.50,Medium
SKU017,DC03,0,1.58,7.56,0.00,489,81.79,High
SKU017,DC04,0,1.64,7.74,0.00,481,81.19,High
SKU018,DC01,705,0.71,3.62,989.17,0,0.00,Low
SKU018,DC02,736,0.70,3.54,1057.01,0,0.00,Low
SKU018,DC03,375,0.78,3.91,480.08,0,0.00,Low
SKU018,DC04,509,0.74,3.84,683.97,0,0.00,Low
SKU019,DC01,556,1.03,3.55,541.91,0,0.00,Low
SKU019,DC02,287,1.07,3.35,267.26,0,0.00,Low
SKU019,DC03,456,1.01,3.36,451.06,36,2.71,Low
SKU019,DC04,399,0.99,3.43,401.20,25,1.88,Low
SKU020,DC01,314,1.40,4.11,223.72,0,0.00,Low
SKU020,DC02,291,1.01,4.80,287.07,193,14.52,Low
SKU020,DC03,252,1.39,4.06,181.49,0,0.00,Low
SKU020,DC04,16,1.29,4.20,12.38,31,26.88,Medium
SKU021,DC01,121,1.40,3.51,86.21,140,10.53,Low
SKU021,DC02,158,1.52,3.35,103.68,77,5.79,Low
SKU021,DC03,0,1.21,3.71,0.00,226,62.00,High
SKU021,DC04,154,1.34,3.61,114.75,162,12.19,Low
SKU022,DC01,0,1.93,8.58,0.00,262,64.71,High
SKU022,DC02,0,2.20,8.08,0.00,195,59.67,High
SKU022,DC03,0,1.22,8.54,0.00,435,77.73,High
SKU022,DC04,0,1.66,8.83,0.00,331,69.90,High
SKU023,DC01,0,1.50,7.06,0.00,265,64.94,High
SKU023,DC02,21,1.19,7.07,17.60,356,48.78,Medium
SKU023,DC03,79,2.24,4.80,35.32,40,3.01,Low
SKU023,DC04,169,1.49,7.00,113.44,267,20.09,Low
SKU024,DC01,0,2.28,6.16,0.00,109,53.20,Medium
SKU024,DC02,0,0.99,7.03,0.00,455,79.23,High
SKU024,DC03,0,1.76,7.42,0.00,254,64.11,High
SKU024,DC04,0,1.49,7.63,0.00,327,69.60,High
